編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWOMLPKQHOFFCD86CC,坡道平面,0,25.77,
RPWOMLPKQHOFFCD86CC,坡道平面,0,25.77,
RPPNMLQKQHOFFKD96CC,坡道平面,0,22.39,
RPXOMLTKQHOFFCD37CC,坡道機械,0,,
RPVNMLTKQHOFFCD07CC,坡道平面,0,29.31,
RPPOMLKLQHOFFAD18CC,坡道平面,0,,
RPTNMLTLQHOFFKD77CC,升降機械,0,,
RPXNMLKMQHOFFKD37CC,坡道平面,0,,
RPVOMLKMQHOFFKD27CC,坡道平面,0,,
RPVNMLTJRHOFFCD07CC,坡道平面,0,,
RPUPMLTJRHOFFAD96CC,坡道平面,0,,
RPROMLLKRHOFFCD68CC,坡道平面,0,,
RPPOMLLKRHOFFAD28CC,坡道平面,0,,
RPQNMLTKRHOFFKD47CC,坡道平面,0,27.67,
RPXOMLKLRHOFFKD47CC,一樓平面,0,,
RPSPMLNLRHOFFAD98CC,坡道平面,0,31.99,
RPSOMLPLRHOFFKD47CC,坡道平面,0,,
RPSNMLRLRHOFFBD66CC,一樓平面,0,,
RPOOMLRLRHOFFKD27CC,坡道平面,0,,
RPTNMLRLRHOFFCD86CC,坡道平面,0,,
RPROMLKMRHOFFCD78CC,坡道平面,0,35.45,
RPWOMLQLRHOFFAD96CC,坡道平面,0,33.40,
RPPOMLKMRHOFFAD38CC,坡道平面,2500,30.65,
RPSOMLMJIIOFFCD97CC,坡道平面,0,,
RPXOMLMJIIOFFAD28CC,坡道機械,0,,
RPXOMLMJIIOFFAD28CC,坡道機械,0,,
RPQOMLNJIIOFFCD87CC,坡道機械,0,,
RPQNMLOJIIOFFAD67CC,坡道機械,0,23.36,
RPOPMLPJIIOFFHD48CC,坡道平面,0,10.87,
RPSNMLRJIIOFFAD18CC,坡道平面,0,,
RPXNMLTJIIOFFKD27CC,坡道平面,0,26.25,
RPQOMLOKIIOFFHD58CC,一樓平面,0,,
RPPOMLTJIIOFFKD56CC,升降機械,0,,
RPSNMLPKIIOFFCD28CC,坡道平面,0,40.00,
RPWNMLPKIIOFFCD68CC,坡道平面,0,,
RPPOMLSKIIOFFAD18CC,坡道平面,0,,
RPRQMLNLIIOFFCD38CC,坡道機械,0,,
RPUPMLNLIIOFFCD58CC,坡道平面,0,,
RPTNMLOLIIOFFAD18CC,坡道機械,0,23.12,
RPTNMLPLIIOFFAD28CC,坡道平面,0,,
RPUNMLPLIIOFFAD38CC,坡道機械,0,23.35,
RPTNMLPLIIOFFCD48CC,坡道平面,0,,
RPUNMLKMIIOFFCD18CC,其他,0,24.86,
RPUNMLKMIIOFFCD18CC,其他,0,24.86,
RPTNMLKMIIOFFKD88CC,坡道平面,0,,
RPPPMLLMIIOFFCD97CC,坡道平面,0,25.77,
RPTNMLLJJIOFFAD77CC,坡道平面,0,38.25,
RPROMLLJJIOFFCD87CC,坡道平面,0,,
RPXOMLLJJIOFFCD48CC,坡道平面,0,,
RPRNMLQJJIOFFCD28CC,坡道機械,0,16.79,
RPUVMLQJJIOFFCD76CC,升降機械,0,,
