編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPPMLLKKHOFFCA57CC,一樓平面,0,,
RPPPMLLKKHOFFCA57CC,一樓平面,0,,
RPPPMLLKKHOFFCA57CC,一樓平面,0,,
RPPPMLLKKHOFFCA57CC,一樓平面,0,,
RPXNMLMKKHOFFBA18CC,升降機械,0,,
RPSQMLNKKHOFFBA08CC,坡道機械,0,,
RPXNMLNKKHOFFCA38CC,坡道平面,0,,
RPPPMLNKKHOFFCA77CC,一樓平面,0,,
RPWPMLNKKHOFFCA48CC,坡道平面,0,34.43,
RPTOMLNKKHOFFEA28CC,升降平面,3000,,
RPXNMLOKKHOFFFA78CC,塔式車位,0,12.44,
RPSOMLOKKHOFFEA28CC,坡道平面,0,25.71,
RPTNMLOKKHOFFCA08CC,坡道平面,0,29.77,
RPTNMLOKKHOFFCA08CC,坡道平面,0,29.77,
RPVOMLOKKHOFFCA38CC,坡道平面,0,36.51,
RPPQMLPKKHOFFCA08CC,坡道平面,0,,
RPOOMLSKKHOFFAA87CC,坡道平面,0,33.09,
RPPNMLTKKHOFFEA38CC,升降機械,0,20.53,
RPPOMLTKKHOFFEA48CC,坡道平面,0,25.23,
RPTQMLKLKHOFFDA18CC,塔式車位,0,18.35,
RPQNMLKLKHOFFDA57CC,坡道平面,0,32.33,
RPTOMLKLKHOFFEA08CC,坡道平面,0,,
RPWOMLKLKHOFFEA38CC,坡道平面,0,,
RPSPMLLLKHOFFEA18CC,坡道平面,0,40.47,
RPSPMLLLKHOFFEA18CC,坡道平面,0,40.47,
RPUOMLLLKHOFFDA18CC,坡道平面,0,52.08,
RPUOMLLLKHOFFDA18CC,坡道平面,0,52.08,
RPOQMLMLKHOFFCA77CC,坡道平面,0,30.51,
RPXOMLTKKHOFFFA76CC,坡道平面,0,,
RPXOMLTKKHOFFFA76CC,坡道平面,0,,
RPXNMLNLKHOFFAA28CC,坡道平面,0,,
RPXNMLNLKHOFFAA28CC,其他,0,,
RPXNMLNLKHOFFAA28CC,其他,0,,
RPPNMLNLKHOFFCA67CC,坡道平面,0,29.77,
RPQNMLNLKHOFFCA77CC,坡道平面,0,,
RPSPMLNLKHOFFCA18CC,坡道平面,0,,
RPTOMLNLKHOFFBA08CC,升降機械,0,19.05,
RPQNMLOLKHOFFFA18CC,坡道機械,0,52.50,
RPUNMLPLKHOFFBA28CC,坡道平面,0,,
RPOPMLPLKHOFFCA97CC,坡道平面,0,38.52,
RPVPMLPLKHOFFCA68CC,坡道平面,0,,
RPPQMLPLKHOFFCA18CC,坡道平面,0,32.70,
RPSOMLPLKHOFFDA38CC,坡道平面,0,,
RPUOMLPLKHOFFDA58CC,坡道平面,0,44.29,
RPRNMLQLKHOFFDA28CC,坡道平面,0,,
RPOPMLQLKHOFFCA08CC,升降機械,0,,
RPVQMLQLKHOFFBA78CC,坡道平面,0,,
RPVOMLQLKHOFFEA88CC,坡道平面,0,,
RPPPMLRLKHOFFBA18CC,塔式車位,0,8.70,
RPRNMLRLKHOFFDA48DC,坡道平面,0,41.97,
RPPPMLRLKHOFFCA28CC,坡道平面,0,,
RPXPMLRLKHOFFCA09CC,坡道平面,0,,
RPXPMLRLKHOFFCA09CC,坡道平面,0,,
RPPPMLRLKHOFFDA38CC,坡道平面,0,14.63,
RPPNMLNJLHOFFDA67CC,坡道平面,10000,43.40,
RPPPMLPJLHOFFDA08CC,坡道平面,0,36.20,
RPPPMLPJLHOFFDA08CC,坡道平面,0,36.20,
RPVOMLPJLHOFFBA38CC,坡道平面,4000,15.51,
RPTOMLPJLHOFFBA18CC,坡道平面,0,,
RPTOMLPJLHOFFBA18CC,坡道平面,0,,
RPTNMLPJLHOFFFA48CC,坡道平面,0,,
RPUNMLPJLHOFFFA58CC,坡道機械,0,52.50,
RPXNMLPJLHOFFEA78CC,坡道平面,0,51.44,
RPWNMLQJLHOFFAA38CC,升降平面,0,,
RPVNMLQJLHOFFAA28CC,坡道平面,6000,46.62,
RPWOMLQJLHOFFCA68CC,坡道平面,0,,
RPVOMLQJLHOFFDA68CC,坡道平面,0,32.04,
RPPPMLQJLHOFFDA18CC,坡道平面,0,27.57,
RPPPMLQJLHOFFDA18CC,坡道平面,0,27.57,
RPVNMLRJLHOFFCA58CC,坡道平面,0,6.47,
RPVNMLRJLHOFFCA58CC,坡道平面,0,7.50,
RPXNMLRJLHOFFCA78CC,坡道平面,0,34.65,
RPUOMLRJLHOFFCA58CC,坡道平面,0,37.30,
RPUOMLRJLHOFFEA78CC,坡道平面,0,,
RPOQMLSJLHOFFCA28CC,坡道平面,0,,
RPWNMLSJLHOFFBA68CC,坡道平面,0,,
RPSPMLSJLHOFFDA68CC,坡道平面,0,33.78,
RPTNMLLKLHOFFEA08CC,坡道平面,0,39.61,
RPQQMLLKLHOFFCA87CC,坡道平面,0,,
RPSOMLLKLHOFFDA97CC,坡道平面,0,14.99,
RPRRMLMKLHOFFCA18CC,坡道平面,0,31.07,
RPQNMLMKLHOFFAA47CC,坡道平面,0,34.22,
RPUNMLMKLHOFFFA38CC,坡道平面,0,40.69,
RPVNMLMKLHOFFEA38CC,坡道平面,0,,
RPUNMLNKLHOFFEA38CC,坡道機械,0,17.32,
RPUNMLNKLHOFFEA38CC,坡道機械,0,17.32,
RPWOMLNKLHOFFCA48CC,坡道機械,0,,
RPWOMLNKLHOFFCA48CC,坡道機械,0,,
RPPQMLNKLHOFFCA97CC,坡道平面,0,39.62,
RPUQMLNKLHOFFCA48CC,坡道平面,0,,
RPUPMLNKLHOFFDA48CC,坡道平面,0,25.60,
RPTPMLNKLHOFFDA38CC,升降機械,0,,
RPTPMLNKLHOFFDA38CC,升降機械,0,,
RPTPMLNKLHOFFDA38CC,升降機械,0,,
RPTPMLNKLHOFFDA38CC,升降機械,0,,
RPQOMLOKLHOFFDA08CC,坡道平面,0,22.61,
RPQOMLOKLHOFFDA08CC,坡道平面,0,22.61,
RPQOMLOKLHOFFDA08CC,坡道平面,0,22.61,
RPQOMLOKLHOFFDA08CC,坡道平面,0,22.61,
RPXNMLOKLHOFFAA38CC,坡道平面,0,36.05,
RPSOMLPKLHOFFBA18CC,坡道平面,0,27.87,
RPWNMLPKLHOFFCA58CC,坡道平面,0,,
RPWNMLPKLHOFFCA58CC,坡道平面,0,,
RPTOMLPKLHOFFCA38CC,坡道平面,0,,
RPVOMLPKLHOFFCA58CC,升降機械,3000,,
RPSQMLPKLHOFFCA48CC,其他,0,,
RPSQMLPKLHOFFCA48CC,其他,0,,
RPVQMLPKLHOFFCA78CC,坡道平面,0,33.33,
RPVOMLPKLHOFFDA68CC,坡道平面,0,39.32,
RPVOMLPKLHOFFDA68CC,坡道平面,0,39.32,
RPVPMLPKLHOFFDA78CC,坡道平面,0,.20,
RPUQMLPKLHOFFDA78CC,坡道平面,0,38.65,
RPSNMLQKLHOFFEA48CC,坡道平面,0,,
RPXNMLQKLHOFFBA68CC,坡道機械,0,,
RPWRMLSKLHOFFCA66CC,坡道平面,0,26.66,
RPSSMLSKLHOFFCA98CC,坡道平面,0,34.65,
RPQSMLSKLHOFFCA78CC,坡道平面,0,,
RPWSMLSKLHOFFCA76CC,升降平面,0,,
RPWSMLSKLHOFFCA76CC,升降平面,0,,
RPTOMLSKLHOFFEA88CC,坡道平面,0,43.74,
RPTOMLTKLHOFFEA98CC,坡道平面,0,40.07,
RPRNMLKLLHOFFCA67CC,坡道平面,0,35.47,
RPTOMLKLLHOFFDA08CC,坡道平面,0,,
RPUNMLKLLHOFFEA18CC,坡道平面,0,35.54,
RPSNMLKLLHOFFEA97CC,坡道平面,0,,
RPWNMLLLLHOFFDA38CC,坡道平面,0,43.39,
RPOOMLMLLHOFFDA77CC,坡道平面,0,36.43,
RPPQMLMLLHOFFCA97CC,坡道平面,0,33.47,
RPWOMLPLLHOFFFA09CC,坡道平面,0,39.35,
RPOOMLPLLHOFFBA87CC,塔式車位,0,7.15,
RPSOMLPLLHOFFBA28CC,坡道機械,0,11.43,
RPTPMLPLLHOFFCA68DC,坡道平面,0,,
RPROMLPLLHOFFCA28CC,坡道平面,0,26.76,
RPVOMLPLLHOFFCA68CC,坡道平面,0,31.54,
RPVNMLPLLHOFFDA68CC,坡道平面,0,38.91,
RPSNMLQLLHOFFCA38CC,坡道平面,0,40.97,
RPVOMLQLLHOFFFA09CC,坡道平面,0,52.33,
RPVOMLQLLHOFFFA09CC,坡道平面,0,52.33,
RPOOMLQLLHOFFEA28CC,坡道機械,0,16.51,
RPSNMLQLLHOFFEA58CC,坡道平面,0,43.50,
RPSPMLQLLHOFFEA78CC,坡道平面,0,,
RPTPMLRLLHOFFEA98CC,坡道平面,0,22.56,
