鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
安樂區,房地(土地+建物),基隆市中山區中和路83號3樓之3,23.18,住,,,1130219,土地1建物0車位0,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.26,2,1,1,有,無,7380000,85555,,0.0,0,,RPPNMLQLKHJGFDC87DB,宏貿臻璽,A2棟3F號,
七堵區,房地(土地+建物)+車位,基隆市七堵區東新街4巷66號對面,17.24,住,,,1130225,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,131.19,2,2,2,有,無,14200000,134304,坡道平面,38.49,1750000,,RPQNMLTLKHJGFDC28DB,金富康-馥御,A5棟02號,
七堵區,房地(土地+建物)+車位,基隆市七堵區東新街4巷66號對面,15.43,住,,,1130224,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,121.15,2,2,1,有,無,12980000,135253,坡道平面,38.49,1800000,,RPSNMLTLKHJGFDC48DB,金富康-馥御,A7棟03號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武聖街233號旁,193.64,住,,,1130227,土地2建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,248.13,2,1,2,有,無,20500000,82618,一樓平面,13.75,0,,RPPNMLRJLHJGFDC77CB,藝墅VILLA(湖海段257、261地號),E2棟11號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武聖街184-1號旁,157.64,住,,,1130301,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,221.61,2,1,1,有,無,18500000,83480,一樓平面,13.75,0,,RPQNMLRJLHJGFDC87CB,藝墅VILLA(湖海段293地號),B1棟2號,
安樂區,房地(土地+建物)+車位,基隆市中山區中和路,24.97,住,,,1130301,土地1建物0車位1,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.27,2,1,1,有,無,9760000,86872,坡道平面,41.49,1700000,,RPPNMLRJLHJGFDC87DB,宏貿臻璽,B1棟5F號,
安樂區,房地(土地+建物)+車位,基隆市中山區中和路83號5樓之3,23.18,住,,,1130225,土地1建物0車位1,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,127.75,2,1,1,有,無,9200000,86946,坡道平面,41.49,1700000,,RPQNMLRJLHJGFDC97DB,宏貿臻璽,A2棟5F號,
安樂區,房地(土地+建物)+車位,基隆市中山區中和路,24.97,住,,,1130302,土地1建物0車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.27,2,1,1,有,無,9650000,85687,坡道平面,41.49,1700000,,RPRNMLRJLHJGFDC08DB,宏貿臻璽,B1棟4F號,
中山區,房地(土地+建物),基隆市中山區中山一路265號之附近,8.36,商,,,1130229,土地3建物1車位0,二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,88.59,3,2,2,有,無,12300000,138842,,0.0,0,交易總價含下列非屬預售屋價格之費用:家電費,RPPNMLNKLHJGFDC47CB,海揚V1,A棟A1-02F號,
