編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLTLKHJGFDJ98CC,坡道平面,0,,地下一樓
RPPNMLNKLHJGFBJ08CC,坡道平面,0,33.69,地下二樓
RPPNMLNKLHJGFBJ08CC,坡道平面,0,33.69,地下二樓
RPUNMLPJLHJGFBJ68CC,坡道平面,0,,地下一樓
RPUNMLPJLHJGFBJ68CC,坡道平面,0,,地下一樓
RPQNMLQLKHJGFBJ48CC,坡道平面,0,31.75,地下三樓
RPTNMLMLKHJGFBJ38CC,坡道平面,0,,地下一樓
RPTNMLMLKHJGFBJ38CC,坡道平面,0,,地下二樓
RPTNMLMLKHJGFBJ38CC,坡道平面,0,,地下三樓
RPTNMLMLKHJGFBJ38CC,坡道平面,0,,地下三樓
RPPNMLMKLHJGFBJ97CC,坡道平面,0,,地下二樓
RPRNMLOKLHJGFBJ38CC,坡道平面,0,,地下一樓
RPRNMLOKLHJGFBJ38CC,坡道平面,0,,地下一樓
RPRNMLOKLHJGFBJ38CC,坡道平面,0,,地下三樓
RPRNMLOKLHJGFBJ38CC,坡道平面,0,,地下三樓
RPTNMLPKLHJGFBJ68CC,坡道平面,4200,,地下五樓含以下
RPSNMLSKLHJGFBJ88CC,坡道平面,0,,地下五樓含以下
RPSNMLSKLHJGFBJ88CC,坡道平面,0,,地下五樓含以下
RPRNMLPKLHJGFBJ48CC,坡道平面,0,,地下三樓
RPQNMLSKLHJGFBJ68CC,坡道機械,0,,地下三樓
RPRNMLTKLHJGFBJ88CC,坡道平面,0,29.81,地下三樓
RPWNMLSKLHJGFBJ66CC,坡道平面,0,31.22,地下二樓
RPPNMLMLLHJGFBJ08CC,坡道機械,0,,地下五樓含以下
RPSNMLTKLHJGFBJ98CC,坡道平面,0,27.05,地下二樓
RPPNMLKLLHJGFBJ87CC,坡道平面,0,29.81,地下四樓
RPRNMLMLLHJGFBJ28CC,坡道平面,0,,地下一樓
RPSNMLMLLHJGFBJ38CC,坡道平面,0,,地下一樓
RPPNMLRLLHJGFBJ58CC,坡道平面,0,33.03,地下三樓
RPPNMLPLLHJGFBJ38CC,坡道平面,0,8.64,地下一樓
RPRNMLPLLHJGFBJ58CC,坡道平面,0,7.46,地下一樓
RPQNMLPLLHJGFBJ48CC,坡道平面,0,,地下三樓
RPPNMLOLLHJGFBJ28CC,坡道平面,0,39.59,地下二樓
RPPNMLOLLHJGFBJ28CC,坡道平面,0,39.59,地下二樓
RPSNMLRLLHJGFBJ88CC,坡道平面,0,,地下一樓
RPSNMLTLLHJGFBJ09CC,坡道平面,1500,,地下一樓
RPQNMLNJMHJGFBJ18CC,坡道平面,0,33.50,地下一樓
RPPNMLNJMHJGFBJ08CC,坡道平面,2500,,地下二樓
RPRNMLNJMHJGFBJ28CC,升降機械,0,,地下一樓
RPSNMLTJMHJGFDJ56CC,升降機械,0,,地下二樓
RPPNMLLKMHJGFBJ97CC,坡道平面,0,,地下二樓
RPPNMLLKMHJGFBJ97CC,坡道平面,0,,地下三樓
RPSNMLMKMHJGFBJ38CC,坡道平面,0,27.90,一樓
RPSNMLLKMHJGFBJ28CC,坡道平面,0,,地下五樓含以下
RPQNMLMKMHJGFBJ18CC,坡道平面,0,30.01,地下二樓
RPQNMLMKMHJGFBJ18CC,坡道平面,0,30.01,地下二樓
RPSNMLMKMHJGFDJ58CC,坡道平面,0,,地下一樓
RPQNMLQKMHJGFBJ58CC,坡道平面,0,41.35,地下三樓
RPQNMLRKMHJGFBJ68CC,坡道平面,0,,地下二樓
RPQNMLMLMHJGFBJ28CC,坡道平面,0,33.28,地下二樓
RPSNMLMLMHJGFBJ48CC,坡道平面,0,,地下三樓
RPPNMLMLMHJGFDJ38CC,坡道平面,0,,地下一樓
RPRNMLMLMHJGFDJ58CC,坡道平面,0,,地下一樓
RPPNMLNLMHJGFBJ28CC,坡道平面,0,,地下四樓
RPQNMLSKLHJGFCJ78CC,坡道平面,0,,地下一樓
RPQNMLTLLHJGFCJ98CC,坡道平面,0,,地下二樓
RPPNMLPLLHJGFCJ48CC,坡道平面,2000,,地下一樓
RPRNMLLLKHJGFCJ18CC,坡道平面,0,,地下一樓
RPRNMLTKMHJGFCJ09CC,坡道平面,3000,24.90,地下一樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下一樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下一樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下一樓
RPPNMLQLMHJGFDJ78CC,坡道平面,0,,地下二樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下一樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下一樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下一樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下一樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下二樓
RPQNMLOLMHJGFBJ48CC,坡道平面,0,42.30,地下二樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下二樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下二樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下二樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下二樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下二樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下二樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下三樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下三樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下三樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下三樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下三樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下三樓
RPQNMLQLMHJGFBJ68CC,坡道平面,0,,地下三樓
RPQNMLRLMHJGFDJ98CC,坡道平面,1500,,地下一樓
RPPNMLQLMHJGFBJ58CC,坡道平面,0,,地下一樓
RPPNMLRLMHJGFDJ88CC,坡道平面,0,,地下二樓
RPTNMLRLMHJGFDJ66CC,坡道平面,0,,地下一樓
RPPNMLMJNHJGFBJ08CC,坡道平面,0,30.46,地下三樓
RPTNMLRJNHJGFBJ98CC,坡道平面,0,,地下一樓
RPTNMLRJNHJGFBJ98CC,坡道平面,0,,地下一樓
RPTNMLRJNHJGFBJ98CC,坡道平面,0,,地下一樓
RPRNMLQJNHJGFBJ68CC,坡道平面,0,,地下二樓
RPQNMLSJNHJGFCJ88CC,坡道平面,0,,地下一樓
RPPNMLTJNHJGFBJ78CC,坡道平面,0,,地下三樓
RPQNMLKKNHJGFBJ08CC,坡道平面,0,29.70,二樓含以上
RPQNMLKKNHJGFBJ08CC,坡道平面,0,29.70,二樓含以上
RPPNMLPKNHJGFBJ48CC,坡道平面,0,,地下五樓含以下
RPQNMLMJNHJGFBJ18CC,坡道平面,0,29.80,地下一樓
RPPNMLRKNHJGFCJ78CC,坡道平面,0,,地下一樓
RPPNMLLLNHJGFCJ28CC,坡道平面,0,,地下一樓
RPSNMLMLNHJGFDJ78CC,坡道平面,2000,,地下一樓
RPTNMLKLNHJGFBJ48CC,坡道平面,0,,地下二樓
RPTNMLKLNHJGFBJ48CC,坡道平面,0,,地下二樓
RPUNMLKLNHJGFBJ58CC,坡道平面,0,,地下二樓
RPUNMLKLNHJGFBJ58CC,坡道平面,0,,地下二樓
RPUNMLKLNHJGFBJ58CC,坡道平面,0,,地下二樓
RPUNMLKLNHJGFBJ58CC,坡道平面,0,,地下二樓
RPTNMLQKNHJGFBJ98CC,坡道平面,0,35.69,地下二樓
RPTNMLQKNHJGFBJ98CC,坡道平面,0,35.69,地下二樓
