編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLLJRHJGFCE87DA,坡道平面,2000000,14.98,地下二樓
RPTOMLTJQHJGFLE37DA,坡道機械,0,,地下一樓
RPQNMLQKQHJGFCE48DA,坡道平面,700000,12.57,地下三樓
RPQNMLRJQHJGFEE78EA,坡道平面,0,,地下二樓
RPRNMLPKQHJGFBE38DA,坡道機械,0,,地下二樓
RPRPMLMJQHJGFCE28DA,坡道平面,0,,地下二樓
RPXPMLQKQHJGFGE17DA,坡道機械,0,,地下一樓
RPTNMLTKQHJGFCE09DA,坡道平面,0,,地下二樓
RPTNMLTKQHJGFCE09DA,坡道平面,0,,地下三樓
RPTOMLOKQHJGFAE48DA,坡道平面,0,26.38,地下二樓
RPTOMLOKQHJGFAE48DA,坡道平面,0,26.38,地下二樓
RPTOMLOKQHJGFAE48DA,坡道平面,0,26.38,地下二樓
RPUOMLQKQHJGFEE56DA,坡道平面,0,23.23,地下一樓
RPPNMLLLQHJGFAE87EA,坡道平面,0,49.04,地下四樓
RPQOMLQKQHJGFAE38DA,坡道平面,900000,24.76,地下一樓
RPQOMLQKQHJGFAE38DA,坡道平面,900000,24.76,地下一樓
RPQOMLQKQHJGFAE38DA,坡道平面,900000,24.76,地下一樓
RPQOMLQKQHJGFAE38DA,坡道平面,800000,24.76,地下二樓
RPROMLLLQHJGFBE18DA,坡道平面,0,46.75,地下五樓含以下
RPOOMLTJQHJGFDE68DA,坡道平面,0,50.22,地下一樓
RPTNMLTJQHJGFIE96DA,升降機械,0,,地下一樓
RPQNMLLLQHJGFLE98DA,一樓平面,0,,一樓
RPOOMLOKQHJGFCE18DA,坡道平面,0,26.54,地下二樓
RPROMLTJQHJGFGE66DA,坡道平面,0,23.72,地下一樓
RPUOMLLLQHJGFGE98DA,坡道平面,0,42.03,地下一樓
RPTRMLKLQHJGFEE88DA,坡道平面,0,35.47,地下二樓
RPSOMLRLQHJGFDE09DA,坡道平面,0,29.18,地下三樓
RPSOMLRLQHJGFDE09DA,坡道平面,0,23.88,地下三樓
RPSNMLQLQHJGFEE98DA,坡道平面,750000,19.04,地下三樓
RPQPMLOLQHJGFEE78DA,坡道平面,1000000,25.66,地下二樓
RPTNMLNLQHJGFCE58DA,坡道平面,0,,地下二樓
RPQNMLSLQHJGFBE68DA,坡道機械,0,19.06,地下五樓含以下
RPOOMLQLQHJGFEE68DA,坡道平面,0,17.75,地下一樓
RPUPMLRLQHJGFFE96DA,坡道平面,0,,地下一樓
RPTNMLQLQHJGFBE78DA,升降平面,0,,地下一樓
RPVOMLSLQHJGFDE86DA,坡道平面,0,,地下一樓
RPOQMLKLQHJGFEE28DA,坡道機械,0,5.80,地下二樓
RPSNMLTKQHJGFLE27DA,坡道平面,0,21.25,地下二樓
RPOOMLTKQHJGFIE66DA,坡道平面,0,26.57,地下三樓
RPWNMLQKQHJGFAE88DA,坡道平面,2300000,33.10,地下四樓
RPVNMLQKQHJGFAE78DA,坡道平面,2400000,33.10,地下三樓
RPUNMLSLQHJGFGE96DA,坡道平面,0,24.54,地下一樓
RPXOMLNLQHJGFCE09DA,其他,0,,地下三樓
RPPNMLOJQHJGFGE48DA,坡道機械,0,17.16,地下一樓
RPOPMLNLQHJGFCE28DA,其他,0,,地下三樓
RPVNMLQKQHJGFDE09DA,坡道平面,0,19.57,地下二樓
RPPOMLMLQHJGFEE38DA,坡道機械,1100000,5.71,地下二樓
RPXOMLLLQHJGFIE86DA,坡道平面,1350000,25.80,地下二樓
RPTNMLKMQHJGFFE68DA,坡道平面,0,,地下一樓
RPQRMLOKQHJGFEE88DA,坡道機械,0,9.89,地下三樓
RPUNMLKMQHJGFFE78DA,坡道平面,0,,地下一樓
RPTPMLSJQHJGFFE76DA,坡道平面,0,26.02,地下三樓
RPQOMLSLQHJGFFE56DA,坡道平面,0,26.18,地下二樓
RPQOMLSLQHJGFFE56DA,坡道平面,0,26.18,地下二樓
