鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
金寧鄉,房地(土地+建物),金門縣金寧鄉寧湖二劃測段1217地號,50.0,其他,,,1130811,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.67,3,2,2,有,無,8500000,80439,,0.0,0,,RPPNMLMLQHJGFAW07CB,湖峰華居集合住宅新建工程,A1幢B1棟2A號,
金寧鄉,房地(土地+建物),金門縣金寧鄉寧湖二劃測段1217地號,50.0,其他,,,1130815,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.67,3,2,2,有,無,8520000,80628,,0.0,0,,RPQNMLMLQHJGFAW17CB,湖峰華居集合住宅新建工程,A1幢B1棟3B號,
金寧鄉,房地(土地+建物),金門縣金寧鄉大橋湖峰段83地號,7.78,住,,,1130916,土地1建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,55.25,1,0,1,有,無,5460000,98824,,0.0,0,,RPPNMLTKRHJGFAW77CB,金門書院,1棟5FC5號,
金寧鄉,房地(土地+建物),金門縣金寧鄉大橋湖峰段83地號,7.78,住,,,1130918,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,55.25,1,0,1,有,無,5500000,99548,,0.0,0,,RPRNMLTKRHJGFAW97CB,金門書院,1棟7FC1號,
金寧鄉,房地(土地+建物),金門縣金寧鄉大橋湖峰段83地號,7.78,住,,,1130914,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,55.25,1,0,1,有,無,5430000,98281,,0.0,0,,RPPNMLNJIIJGFAW88CB,金門書院,1棟3FC5號,
金湖鎮,房地(土地+建物)+車位,金門縣金湖鎮新頭段776地號,57.42,其他,,,1130927,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,139.22,3,2,2,有,無,10360000,78585,一樓平面,13.75,500000,,RPPNMLSJIIJGFAW76CB,天圓湖中居,A1B1棟C1-5F號,
金湖鎮,房地(土地+建物)+車位,金門縣金湖鎮新頭段776地號,56.35,其他,,,1130916,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,136.88,3,2,2,有,無,9800000,75530,一樓平面,13.75,500000,,RPQNMLSJIIJGFAW86CB,天圓湖中居,A1B1棟C2-4F號,
金寧鄉,房地(土地+建物),金門縣金寧鄉大橋湖峰段83地號,9.09,住,,,1131007,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,64.53,1,0,1,有,無,6340000,98249,,0.0,0,,RPPNMLPKIIJGFAW56CB,金門書院,1棟4FC2號,
金寧鄉,房地(土地+建物),金門縣金寧鄉大橋湖峰段83地號,9.09,住,,,1131008,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,64.53,1,0,1,有,無,6500000,100728,,0.0,0,,RPQNMLPKIIJGFAW66CB,金門書院,1棟7FC2號,
金寧鄉,房地(土地+建物),金門縣金寧鄉安西劃段234、235地號,46.97,其他,,,1130930,土地2建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.7,3,2,2,有,無,7000000,70922,,0.0,0,,RPPNMLPLIIJGFAW66CB,松碩邸家集合住宅新建工程,A幢B棟4E號,
金寧鄉,房地(土地+建物),金門縣金寧鄉寧湖二劃測段1217地號,50.0,其他,,,1131008,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.67,3,2,2,有,無,8500000,80439,,0.0,0,,RPQNMLPLIIJGFAW76CB,湖峰華居集合住宅新建工程,A1幢B1棟3A號,
金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉寧山段956、956-1地號,50.25,其他,,,1131025,土地2建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,160.88,3,2,2,有,無,12500000,88261,其他,32.85,1200000,,RPPNMLPJJIJGFAW56CB,冠?-寧山文苑,C棟C6號,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,29.77,其他,,,1131108,土地3建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.32,2,1,1,有,無,5900000,82726,,0.0,0,,RPPNMLMKJIJGFAW98CB,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,B2C21F棟221號,
