鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
台東市,租賃房屋,臺東縣臺東市豐榮路 ２４８ 號,0.0,,,,1130814,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0951017,32.13,17,17,17,有,無,有,7500,233,,0.0,0,續租案件；,RPPNMLOKQHJGFAV17CC,分租套房,無,1130814~1140813,無,冷氣、洗衣機、冰箱,一般轉租
台東市,租賃房屋,臺東縣臺東市中山路２９６巷２５號,0.0,,,,1130811,土地0建物1車位0,全,5,透天厝,人行．店舖．辦公廳,鋼筋混凝土造,0840721,51.54,7,1,5,有,無,有,11500,223,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPUNMLOKQHJGFAV67CC,分層出租,無,1130815~1140815,無,冷氣、熱水器、洗衣機、冰箱,
台東市,租賃房屋+車位,臺東縣臺東市傳廣路３８８巷１０６號二樓之２,0.0,,,,1130814,土地0建物1車位1,二層,8,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0850326,110.23,3,1,1,有,有,有,12300,112,坡道平面,0.0,0,,RPPNMLPKQHJGFAV27CC,整棟(戶)出租,有,1130901~1140831,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
台東市,租賃房屋,臺東縣臺東市豐榮路２４８號,0.0,,,,1130826,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0951017,32.13,17,17,17,有,無,有,7500,233,,0.0,0,,RPVNMLSLQHJGFAV28CC,分租套房,無,1130826~1140825,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
台東市,租賃房屋,臺東縣臺東市豐榮路２４８號,0.0,,,,1130826,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0951017,32.13,17,17,17,有,無,有,7500,233,,0.0,0,,RPWNMLSLQHJGFAV38CC,分租套房,無,1130826~1140825,無,冷氣、熱水器、洗衣機、冰箱,一般轉租
台東市,租賃房屋,臺東縣臺東市豐榮路 ２４８ 號,0.0,,,,1130813,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0951017,32.13,17,17,17,有,無,有,6000,187,,0.0,0,續租案件；,RPOOMLSLQHJGFAV67CC,分租套房,無,1130613~1140612,無,冷氣、洗衣機、電視機、冰箱,一般轉租
台東市,租賃房屋,臺東縣臺東市豐榮路２４８號,0.0,,,,1130829,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0951017,32.13,17,17,17,有,無,有,6500,202,,0.0,0,1.房客因出國而無法在租賃期間前簽定契約。2.租金優惠：114年7月1日~7月31日優惠一個月租金，即繳交電費即可,RPPNMLTLQHJGFAV77CC,分租套房,無,1130801~1140731,無,冷氣、洗衣機、冰箱,一般轉租
台東市,土地,新生段1581地號,2449.0,農,,,1130813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,10000,4,,0.0,0,地上有未保存登記平房，台東市濟南路61巷274號。113年8月份租金全免，做為搬遷期。看屋後雙方合意8/9開始承租，8/13雙方才有空簽約，因此簽約日為8/13。含增建或未登記建物；,RPPNMLMJRHJGFAV96CC,,,1130809~1180809,,,
台東市,租賃房屋,臺東縣臺東市正氣路３８９號,12.4,住,,,1130826,土地1建物1車位0,一層,7,店面(店鋪),住家用,鋼筋混凝土造,0701021,24.96,0,1,0,有,有,無,10000,401,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPPNMLNJRHJGFAV07CC,,無,1130910~1190909,無,,
台東市,租賃房屋,臺東縣臺東市中興路一段２５２巷３３號４樓,0.0,,,,1130820,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0830517,109.64,1,2,1,有,有,有,14600,133,,0.0,0,管理費另計不含在租金內。,RPQNMLNJRHJGFAV17CC,整棟(戶)出租,無,1130901~1140831,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,社會住宅包租轉租
台東市,租賃房屋,臺東縣臺東市更生北路１０５４號,0.0,,,,1130830,土地0建物1車位0,全,2,透天厝,住家用,鐵筋水泥磚,0670403,120.2,2,1,1,有,無,有,10000,83,,0.0,0,,RPRNMLNJRHJGFAV27CC,整棟(戶)出租,無,1130901~1140831,無,熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
成功鎮,租賃房屋,臺東縣成功鎮大同路８３號,0.0,,,,1130905,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0810601,195.19,3,2,2,有,無,有,12000,61,,0.0,0,,RPPNMLPJRHJGFBV37CC,整棟(戶)出租,無,1130901~1140831,無,,社會住宅代管
台東市,土地,台東段24-18地號,303.0,住,,,1130911,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,43000,142,,0.0,0,含增建或未登記建物；,RPPNMLNKRHJGFAV17CC,,,1131011~1181011,,,
台東市,租賃房屋,臺東縣臺東市正氣路１６２號,0.0,,,,1130907,土地0建物0車位0,全,4,透天厝,商業用,鋼筋混凝土造,0691101,24.15,9,0,9,有,無,有,6500,269,,0.0,0,,RPQNMLTKRHJGFAV87CC,分租套房,無,1130908~1150908,無,冷氣、電視機、網路,
台東市,租賃房屋,臺東縣臺東市光榮街３９號２樓之３,0.0,,,,1130822,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),集合住宅,ＲＣ造,1070903,44.82,1,0,1,有,無,有,8000,178,,0.0,0,,RPPNMLKLRHJGFAV96CC,獨立套房,無,1130825~1140831,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
