鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
大村鄉,房地(土地+建物)+車位,彰化縣大村鄉中山路一段98號隔壁,23.38,,鄉村區,乙種建築用地,1130813,土地1建物1車位1,二層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,92.78,2,2,2,有,無,8780000,92269,一樓平面,13.88,1500000,,RPPNMLOKQHJGFDN56CB,翔富中山,A棟2號,
社頭鄉,房地(土地+建物),彰化縣社頭鄉員集路三段,116.61,,鄉村區,乙種建築用地,1130813,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,179.83,5,3,3,有,無,13300000,73959,,0.0,0,,RPUNMLOKQHJGFEN17CB,上禾苑,B棟1號,
員林市,房地(土地+建物)+車位,彰化縣員林市員水路一段,35.5,,鄉村區,乙種建築用地,1130811,土地3建物1車位1,四層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,140.98,3,2,2,有,無,10480000,84200,坡道平面,31.36,1250000,,RPSNMLOKQHJGFDN96DB,員林A1晴逸心苑-華廈,4A3號,
員林市,房地(土地+建物)+車位,彰化縣員林市新西東段1013-1015地號,29.8,,特定農業區,甲種建築用地,1130814,土地3建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.99,3,2,2,有,無,12760000,102831,一樓平面,21.49,1500000,,RPTNMLPKQHJGFDN07CB,漢英雲起,A棟7號,
員林市,房地(土地+建物)+車位,彰化縣員林市新西東段1013-1015地號,42.9,,特定農業區,甲種建築用地,1130814,土地3建物1車位2,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,200.54,4,2,2,有,無,21380000,116337,一樓平面,42.98,3050000,,RPVNMLPKQHJGFDN27CB,漢英雲起,B棟8號,
員林市,房地(土地+建物)+車位,彰化縣員林市新西東段1013-1015地號,42.22,,特定農業區,甲種建築用地,1130811,土地3建物1車位1,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,176.61,4,2,2,有,無,19370000,115201,一樓平面,21.49,1500000,,RPWNMLPKQHJGFDN37CB,漢英雲起,C棟8號,
福興鄉,房地(土地+建物),彰化縣福興鄉福鹿段262地號,29.03,,特定農業區,甲種建築用地,1130812,土地2建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,76.82,2,2,2,有,無,6350000,82661,,0.0,0,,RPPNMLQKQHJGFCN66CB,泰銓福興院,B棟6號,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮和中段95-95地號,65.0,住,,,1130813,土地1建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,186.6,4,2,4,有,無,28000000,150054,一樓平面,0.0,0,,RPPNMLQKQHJGFBN66DB,和美榮耀,A棟9號,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮和中段95-96地號,65.0,住,,,1130813,土地1建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,186.5,4,2,4,有,無,28000000,150134,一樓平面,0.0,0,,RPQNMLQKQHJGFBN76DB,和美榮耀,A棟10號,
伸港鄉,房地(土地+建物)+車位,彰化縣伸港鄉大同十二街,20.63,住,,,1130817,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,116.13,2,2,2,有,無,8070000,76624,坡道平面,26.21,1180000,,RPPNMLRKQHJGFBN66CB,道恩起家451,10C號,
員林市,房地(土地+建物)+車位,彰化縣員林市新西東段1013-1015地號,28.44,,特定農業區,甲種建築用地,1130813,土地3建物1車位2,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,147.46,3,2,2,有,無,13750000,102891,一樓平面,42.98,3000000,,RPPNMLTKQHJGFDN07CB,漢英雲起,C棟7號,
社頭鄉,房地(土地+建物)+車位,彰化縣社頭鄉高鐵北二路,100.65,住,,,1130816,土地3建物1車位1,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,170.31,4,3,3,有,無,13350000,78386,一樓平面,0.0,0,,RPPNMLTKQHJGFEN17CB,榮彰高鐵升之泰,C棟25號,
社頭鄉,房地(土地+建物)+車位,彰化縣社頭鄉高鐵北二路,100.65,住,,,1130817,土地4建物1車位1,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,170.31,4,3,3,有,無,13350000,78386,一樓平面,0.0,0,,RPQNMLTKQHJGFEN27CB,榮彰高鐵升之泰,C棟2號,
