編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLQKQHJGFDJ86CB,坡道平面,1500000,31.56,地下二樓
RPRNMLPKQHJGFDJ09CB,坡道平面,1650000,22.57,地下一樓
RPPNMLSKQHJGFDJ56CB,其他,1200000,14.85,一樓
RPSNMLQKQHJGFBJ09CB,一樓平面,2000000,20.93,一樓
RPPNMLQKQHJGFBJ88DB,坡道平面,2200000,28.94,地下三樓
RPPNMLQKQHJGFCJ88CB,一樓平面,0,13.75,一樓
RPUOMLQKQHJGFDJ96CB,坡道平面,1600000,32.48,地下二樓
RPUOMLQKQHJGFDJ96CB,坡道平面,1600000,32.48,地下二樓
RPROMLQKQHJGFDJ66CB,坡道平面,1700000,32.48,地下一樓
RPTNMLTKQHJGFDJ07CB,坡道平面,1600000,35.47,地下四樓
RPTNMLTKQHJGFDJ07CB,坡道平面,1800000,35.47,地下四樓
RPRNMLQKQHJGFBJ98CB,一樓平面,1900000,20.93,一樓
RPSNMLPKQHJGFDJ56CB,坡道平面,1650000,22.57,地下一樓
RPSNMLKLQHJGFDJ78CB,坡道平面,1610000,22.20,地下一樓
RPPNMLTKQHJGFBJ09CB,坡道平面,2820000,20.07,地下一樓
RPPNMLMLQHJGFBJ48CB,坡道機械,1980000,24.06,一樓
RPPNMLTKQHJGFBJ56DB,坡道平面,2300000,28.94,地下二樓
RPSNMLQKQHJGFDJ66CB,坡道平面,1400000,31.56,地下一樓
RPSNMLLLQHJGFDJ88CB,坡道平面,1600000,31.56,地下一樓
RPQNMLQKQHJGFBJ98DB,坡道平面,2400000,28.94,地下一樓
RPQNMLTKQHJGFBJ66DB,坡道平面,2300000,28.94,地下二樓
RPPNMLLLQHJGFDJ58CB,坡道機械,800000,22.55,地下二樓
RPVNMLLLQHJGFDJ56CB,坡道平面,1500000,31.56,地下二樓
RPQNMLMLQHJGFDJ78CB,一樓平面,1800000,32.48,一樓
RPUNMLOLQHJGFDJ76CB,坡道平面,1460000,22.20,地下二樓
RPVNMLOLQHJGFDJ86CB,坡道平面,1460000,22.20,地下二樓
RPOOMLOLQHJGFDJ88CB,坡道平面,1590000,23.99,地下一樓
RPTNMLOLQHJGFDJ66CB,坡道平面,1610000,22.20,地下一樓
RPSNMLOLQHJGFDJ56CB,坡道平面,1610000,22.20,地下一樓
RPRNMLMLQHJGFDJ88CB,坡道平面,1600000,32.48,地下二樓
RPPNMLPLQHJGFCJ88CB,坡道平面,1460000,28.76,地下三樓
RPQNMLPLQHJGFDJ09CB,其他,0,,一樓
RPTNMLLLQHJGFDJ98CB,坡道平面,1600000,31.56,地下一樓
RPVNMLQLQHJGFBJ86CB,坡道平面,1500000,26.18,地下二樓
RPUNMLQLQHJGFDJ96CB,坡道平面,1650000,28.09,地下一樓
RPVNMLQLQHJGFDJ07CB,坡道平面,1500000,28.09,地下二樓
RPPNMLQLQHJGFDJ09CB,坡道機械,900000,15.24,一樓
RPPNMLQLQHJGFBJ88CB,坡道平面,1500000,26.18,地下二樓
RPQNMLQLQHJGFBJ98CB,坡道平面,1600000,26.19,地下一樓
RPRNMLRLQHJGFBJ56CB,坡道平面,2300000,41.14,地下二樓
RPRNMLRLQHJGFBJ56CB,坡道平面,2200000,41.14,地下二樓
RPSNMLRLQHJGFBJ66CB,坡道平面,2050000,35.11,地下二樓
RPXNMLQLQHJGFDJ27CB,坡道平面,1500000,28.09,地下二樓
RPVNMLRLQHJGFBJ96CB,坡道平面,1500000,26.18,地下二樓
RPXNMLRLQHJGFBJ17CB,坡道平面,2150000,35.11,地下二樓
RPQNMLRLQHJGFBJ09CB,坡道平面,2500000,41.14,地下一樓
RPQNMLRLQHJGFBJ09CB,坡道平面,2400000,41.14,地下一樓
RPUNMLRLQHJGFBJ86CB,坡道平面,1500000,26.18,地下二樓
RPOOMLRLQHJGFBJ98CB,坡道平面,2200000,34.01,地下一樓
RPTNMLRLQHJGFBJ76CB,坡道平面,2050000,35.11,地下二樓
RPTNMLQLQHJGFBJ66CB,坡道平面,1700000,20.93,地下一樓
RPWNMLRLQHJGFBJ07CB,坡道平面,2150000,35.11,地下二樓
RPQOMLRLQHJGFBJ56CB,坡道平面,1500000,26.18,地下二樓
RPUOMLRLQHJGFBJ96CB,坡道平面,2150000,35.11,地下二樓
RPVOMLRLQHJGFBJ07CB,坡道平面,1750000,35.11,地下二樓
RPOPMLRLQHJGFBJ09CB,坡道平面,1500000,26.18,地下二樓
RPSOMLRLQHJGFBJ76CB,坡道平面,2150000,35.11,地下二樓
RPTOMLRLQHJGFBJ86CB,坡道平面,2150000,35.11,地下二樓
RPPPMLRLQHJGFBJ56CB,坡道平面,1850000,35.11,地下一樓
RPQPMLRLQHJGFBJ66CB,坡道平面,1850000,35.11,地下一樓
