編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWPMLLKKHPFFCB48CC,坡道平面,0,28.01,
RPVNMLLKKHPFFCB18CC,坡道機械,0,,
RPSNMLLKKHPFFAB67CC,坡道平面,0,,
RPUNMLLKKHPFFCB08CC,坡道機械,0,,
RPUNMLLKKHPFFCB08CC,坡道機械,0,,
RPQOMLMKKHPFFFB18CC,坡道平面,0,29.82,
RPQPMLMKKHPFFJB68CC,坡道平面,0,35.79,
RPSNMLMKKHPFFHB48CC,坡道機械,0,16.05,
RPRRMLNKKHPFFCB38CC,坡道平面,0,,
RPWNMLPKKHPFFBB58CC,坡道平面,0,41.27,
RPWNMLPKKHPFFBB58CC,坡道平面,0,41.27,
RPRPMLPKKHPFFCB38CC,坡道平面,0,15.00,
RPSPMLPKKHPFFCB48CC,坡道平面,0,36.07,
RPQRMLPKKHPFFCB48CC,坡道平面,0,37.80,
RPQOMLRKKHPFFAB18CC,坡道平面,0,31.85,
RPQOMLRKKHPFFAB18CC,坡道平面,0,31.85,
RPQNMLRKKHPFFFB58CC,坡道平面,0,33.76,
RPXNMLRKKHPFFDB56DC,坡道平面,0,24.63,
RPXNMLMKKHPFFFB78CC,坡道平面,0,34.35,
RPTPMLPKKHPFFBB48CC,坡道機械,0,15.94,
RPXNMLPKKHPFFBB68CC,坡道平面,0,28.36,
RPOOMLPKKHPFFBB87CC,坡道平面,0,28.36,
RPWPMLPKKHPFFBB78CC,坡道平面,0,31.88,
RPTPMLTKKHPFFCB98CC,其他,0,28.12,
RPPPMLTKKHPFFCB58CC,其他,0,24.26,
RPQNMLTKKHPFFIB09CC,坡道平面,0,26.52,
RPXOMLKLKHPFFIB09CC,坡道平面,0,,
RPVOMLKLKHPFFIB88CC,坡道平面,0,,
RPWNMLLLKHPFFCB38CC,坡道平面,0,,
RPWNMLLLKHPFFCB38CC,坡道機械,0,,
RPWNMLLLKHPFFCB38CC,坡道機械,0,,
RPROMLLLKHPFFIB58CC,坡道平面,0,25.45,
RPSOMLLLKHPFFCB18DC,坡道平面,0,33.11,
RPSOMLLLKHPFFCB18DC,坡道平面,0,33.11,
RPOOMLLLKHPFFAB67EC,坡道平面,0,29.63,
RPVNMLLLKHPFFHB78CC,坡道平面,0,,
RPQOMLOLKHPFFBB08CC,坡道平面,0,15.00,
RPUOMLOLKHPFFFB88CC,坡道平面,0,,
RPWNMLOLKHPFFJB76CC,坡道平面,0,,
RPTOMLQLKHPFFCB68CC,坡道平面,0,,
RPVPMLQLKHPFFCB98CC,坡道機械,0,,
RPOQMLQLKHPFFCB38CC,坡道平面,0,,
RPOQMLQLKHPFFCB38CC,坡道機械,0,,
RPOQMLQLKHPFFCB38CC,坡道機械,0,,
RPRQMLQLKHPFFCB68CC,坡道平面,0,,
RPRQMLQLKHPFFCB68CC,坡道平面,0,,
RPPRMLQLKHPFFCB58CC,坡道平面,0,,
RPPRMLQLKHPFFCB58CC,坡道平面,0,,
RPWUMLQLKHPFFBB86CC,坡道平面,0,,
RPWUMLQLKHPFFBB86CC,坡道機械,0,,
RPSNMLOLKHPFFAB08CC,坡道平面,0,35.75,
RPPNMLOLKHPFFAB77CC,坡道平面,0,29.63,
RPUOMLRLKHPFFDB98CC,坡道平面,0,,
RPUNMLSLKHPFFCB88CC,坡道平面,0,32.33,
RPPOMLSLKHPFFBB38CC,坡道平面,0,31.88,
RPTOMLSLKHPFFBB78CC,坡道平面,0,27.23,
RPQPMLMJLHPFFCB97CC,坡道機械,0,,
RPQPMLMJLHPFFCB97CC,坡道平面,0,,
RPXPMLMJLHPFFBB58CC,坡道平面,0,,
RPTNMLMJLHPFFAB87CC,坡道機械,0,,
RPUNMLMJLHPFFAB97CC,坡道機械,0,,
RPVNMLMJLHPFFAB08CC,坡道平面,0,,
RPOPMLMJLHPFFAB57CC,坡道機械,0,,
RPOPMLMJLHPFFAB57CC,坡道機械,0,,
RPRPMLMJLHPFFAB87CC,坡道機械,0,,
RPTPMLPJLHPFFBB58DC,坡道平面,0,,
RPROMLPJLHPFFAB18DC,坡道平面,0,,
RPQQMLPJLHPFFBB38DC,坡道平面,0,,
RPSSMLPJLHPFFCB78CC,坡道平面,0,37.81,
RPRSMLPJLHPFFCB68CC,坡道平面,100000,28.51,
RPXNMLQJLHPFFCB88CC,坡道平面,0,30.25,
RPVNMLQJLHPFFCB68CC,坡道平面,0,24.74,
RPVNMLQJLHPFFCB68CC,坡道平面,0,24.74,
RPSNMLQJLHPFFJB09CC,坡道平面,0,17.88,
RPURMLQJLHPFFBB88CC,坡道機械,0,,
RPRRMLTJLHPFFCB98CC,坡道機械,0,,
RPURMLTJLHPFFCB66CC,坡道機械,2000,18.99,
RPVRMLTJLHPFFCB76CC,坡道平面,0,37.80,
RPTOMLTJLHPFFBB78CC,坡道機械,0,,
RPQNMLTJLHPFFBB38CC,坡道平面,0,23.59,
RPQNMLTJLHPFFBB38CC,坡道平面,0,23.59,
RPROMLTJLHPFFFB98CC,坡道平面,0,33.76,
RPOQMLLKLHPFFAB67CC,坡道平面,0,,
RPVQMLLKLHPFFAB38CC,坡道平面,0,35.75,
RPPPMLLKLHPFFBB77CC,坡道機械,0,,
RPQPMLLKLHPFFBB87CC,坡道平面,0,,
RPQPMLLKLHPFFBB87CC,坡道機械,0,,
RPROMLLKLHPFFCB97CC,坡道平面,3500,,
RPROMLLKLHPFFCB97CC,坡道平面,3500,,
RPROMLLKLHPFFCB97CC,坡道平面,3500,,
RPROMLLKLHPFFCB97CC,坡道機械,2500,,
RPROMLLKLHPFFCB97CC,坡道機械,2500,,
RPQOMLLKLHPFFCB87CC,坡道平面,0,,
RPQOMLLKLHPFFCB87CC,坡道機械,0,,
RPOPMLLKLHPFFCB77CC,坡道平面,0,,
RPVPMLLKLHPFFCB48CC,坡道平面,0,,
RPVPMLLKLHPFFCB48CC,坡道機械,0,,
RPOOMLLKLHPFFFB97CC,坡道平面,0,34.35,
RPROMLLKLHPFFFB28CC,坡道平面,0,32.25,
RPPOMLMKLHPFFFB18CC,坡道平面,0,33.76,
RPSOMLNKLHPFFCB28CC,坡道平面,0,28.07,
RPXPMLQKLHPFFCB56CC,坡道機械,0,,
