編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLLLOHOFFDP27CC,八德段,91.09,都市：住,,,,03970000
RPSNMLMJPHOFFDP17CC,東興段,63.48,都市：住,,,,11690000
RPSNMLMJPHOFFDP17CC,東興段,30.65,都市：住,,,,11970000
RPSNMLMJPHOFFDP17CC,東興段,14.76,都市：住,,,,11980000
RPSNMLMJPHOFFDP17CC,東興段,131.38,都市：住,,,,11960000
RPSNMLMJPHOFFDP17CC,東興段,157.71,都市：住,,,,11990000
RPUOMLNJOHOFFAP27DC,斗六段,896.57,都市：住,,,,10100000
RPVOMLNJOHOFFAP37DC,斗六段,134.94,都市：住,,,,10050003
RPVOMLNJOHOFFAP37DC,斗六段,73.38,都市：住,,,,10050004
RPRNMLMKPHOFFAP96DC,海豐崙段朱丹灣小段,85.00,都市：住,,,,00750086
RPWNMLKKPHOFFAP17CC,成功段,109.00,都市：商,,,,11300000
RPRNMLKKOHOFFAP56CC,海豐崙段海豐崙小段,63.23,都市：住,,,,08760000
RPQNMLQLPHOFFAP27CC,大埔尾段,105.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,38370000
RPROMLSJPHOFFAP47CC,大潭段社口小段,202.00,都市：商,,,,01180006
RPROMLSJPHOFFAP47CC,大潭段社口小段,240.00,都市：商,,,,01180032
RPROMLSJPHOFFAP47CC,大潭段社口小段,154.00,都市：商,,,,01180033
RPROMLSJPHOFFAP47CC,大潭段社口小段,97.00,都市：商,,,,01190000
RPROMLSJPHOFFAP47CC,大潭段社口小段,4.00,都市：商,,,,01190028
RPQOMLTJPHOFFAP47CC,大潭段社口小段,23.77,都市：住,,,,01010100
RPROMLQKNHOFFAP17CC,斗六段,83.00,都市：住,,,,08700008
RPPNMLTKPHOFFAP37CC,中興段,105.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00190000
RPSOMLPLPHOFFAP47CC,斗六段,13.53,都市：住,,,,01980002
RPQOMLTJPHOFFAP47CC,大潭段社口小段,.80,都市：住,,,,01010078
RPWOMLQKNHOFFAP67CC,大潭段社口小段,19.92,都市：住,,,,01070065
RPWOMLQKNHOFFAP67CC,大潭段社口小段,70.00,都市：住,,,,01070104
RPSOMLKLNHOFFAP76CC,公正段,.00,,,,,10990000
RPSOMLKLNHOFFAP76CC,公正段,.00,,,,,10990001
RPSOMLKLNHOFFAP76CC,公正段,.00,,,,,10990003
RPSOMLKLNHOFFAP76CC,公正段,.00,,,,,10990004
RPTNMLLJQHOFFAP96CC,九老爺段,54.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,05940004
