編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLMKKHOFFBJ58CC,隘興段,.00,都市：商,,,,05430000
RPTNMLMKKHOFFBJ68CC,站前段,.00,都市：商,,,,01900000
RPSQMLSKKHOFFBJ96DC,世興段,17.92,都市：商,,,,00390000
RPSOMLQLKHOFFBJ56CC,莊敬段,.00,都市：住,,,,07440000
RPVOMLLLKHOFFBJ98CC,家興段,.00,都市：住,,,,03810000
RPPNMLNKKHOFFBJ38CC,世興段,.00,都市：商,,,,00530000
RPWOMLNKKHOFFBJ56CC,莊敬段,.00,都市：商,,,,02690000
RPTOMLOKKHOFFBJ98CC,家興段,.00,都市：商,,,,04360000
RPVOMLQLKHOFFBJ86CC,永興段,.00,都市：商,,,,05060000
RPVNMLPKKHOFFBJ56CC,隘興段,.00,都市：住,,,,05760000
RPTOMLQLKHOFFBJ66CC,大學段,.00,都市：住,,,,02180000
RPPNMLNJLHOFFCJ48CC,富貴段,.00,都市：商,,,,07420000
RPSOMLMLKHOFFBJ78CC,莊敬段,.00,都市：商,,,,06590000
RPUNMLPJLHOFFBJ09CC,貓兒錠段拔子窟小段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00230127
RPWOMLQJLHOFFBJ86CC,永興段,.00,都市：住,,,,05680000
RPRNMLLJLHOFFBJ38CC,台科段,.00,都市：住,,,,00300000
RPROMLQJLHOFFBJ98CC,莊敬段,.00,都市：住,,,,07440000
RPVNMLLJLHOFFBJ78CC,台科段,34.96,都市：住,,,,00500000
RPOPMLQLKHOFFBJ88CC,家興段,.00,都市：住,,,,04590000
RPUOMLQJLHOFFBJ66CC,永興段,.00,都市：商,,,,05060000
RPSNMLOJLHOFFBJ78CC,大學段,.00,都市：住,,,,02130000
RPQOMLQJLHOFFBJ88CC,站後段,.00,都市：住,,,,10890000
RPQOMLQJLHOFFBJ88CC,站後段,.00,都市：住,,,,10900000
RPTRMLSJLHOFFBJ07CC,隘興段,.00,都市：住,,,,05760000
RPPPMLNKLHOFFBJ68CC,莊敬段,.00,都市：商,,,,02930000
RPOPMLPKLHOFFBJ78CC,大學段,.00,都市：商,,,,00700000
RPUNMLOKLHOFFBJ09CC,縣華段,.00,都市：住,,,,05550000
RPOOMLPKLHOFFCJ78CC,上公舘段,41.00,都市：商,,,,00030065
RPQNMLPKLHOFFDJ98CC,文昌段,.00,都市：住,,,,01670000
RPRPMLSKLHOFFBJ76CC,自強段,.00,都市：住,,,,02230003
RPRPMLSKLHOFFBJ76CC,自強段,.00,都市：住,,,,02230004
RPRPMLSKLHOFFBJ76CC,自強段,.00,都市：住,,,,02230000
RPSNMLTKLHOFFBJ76CC,翰林段,.00,都市：住,,,,04780000
RPWNMLTKLHOFFDJ37CC,中興段中興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01970002
RPVNMLTKLHOFFBJ07CC,家興段,.00,都市：住,,,,02900000
RPTOMLKLLHOFFBJ78CC,水瀧段,.00,都市：商,,,,01010000
RPTNMLTKLHOFFBJ86CC,大學段,.00,都市：住,,,,02200000
RPVOMLKLLHOFFBJ98CC,台科段,.00,都市：住,,,,01260000
RPPNMLSLLHOFFBJ09CC,公園段,.00,都市：商,,,,01740000
RPSONLRLLHOFFBJ86CC,莊敬段,.00,都市：住,,,,00800000
RPSNMLSLLHOFFBJ76CC,家興段,.00,都市：住,,,,05960000
RPRNMLSLLHOFFBJ66CC,家興段,.00,都市：住,,,,04250000
RPQNMLSLLHOFFBJ56CC,站前段,.00,都市：住,,,,01610000
RPUQMLSLLHOFFBJ27CC,台科段,.00,都市：商,,,,02110000
RPQRMLNJMHOFFBJ98CC,公園段,.00,都市：住,,,,00270000
RPSNMLLMLHOFFBJ78CC,隘興段,.00,都市：商,,,,05430000
RPRRMLNJMHOFFBJ09CC,莊敬段,.00,都市：商,,,,07150000
RPPNMLOJMHOFFBJ58CC,公園段,.00,都市：商,,,,04750000
RPOOMLSJMHOFFBJ98CC,隘興段,.00,都市：住,,,,06220000
RPROMLSJMHOFFBJ66CC,世興段,.00,都市：商,,,,00270000
RPVOMLSJMHOFFBJ07CC,大學段,.00,都市：商,,,,02200000
RPWOMLSJMHOFFBJ17CC,台元段,.00,都市：工,,,,06190000
RPQPMLSJMHOFFBJ66CC,隘興段,.00,都市：住,,,,06340000
RPSNMLSJMHOFFDJ86CC,南湖段,.00,都市：商,,,,00110000
RPTNMLTJMHOFFDJ07CC,建興段建興小段,4379.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01240000
RPSOMLTJMHOFFBJ86CC,新國段,.00,都市：住,,,,08890000
RPXNMLKKMHOFFBJ09CC,公園段,.00,都市：商,,,,04790000
