鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中和區,建物,新北市中和區福祥路１０９號,98.06,住,,,1080119,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0660228,101.16,0,0,0,無,無,無,30000,297,,0.0,0,,RPSOMLLKKHOFFHF78CC
永和區,建物,新北市永和區中和路５３５號五樓之十三,0.0,住,,,1080119,土地0建物1車位0,五層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980119,47.879999999999995,1,1,1,有,有,有,18500,386,,0.0,0,租金含管理費,RPXOMLLKKHOFFHF66CC
中和區,建物,新北市中和區莊敬路４９巷２０弄２２之３號,0.0,住,,,1080118,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690916,112.8,4,2,2,有,無,無,22000,195,,0.0,0,,RPPPMLLKKHOFFHF58CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市五路三段２０６號十六樓,10.95,商,,,1080202,土地1建物1車位1,十六層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061229,153.14,3,2,2,有,無,無,18000,118,坡道平面,30.84,0,,RPROMLLKKHOFFEF38CC
淡水區,房地(土地+建物)+車位,新北市淡水區民權路２３號十四樓,6.92,工,,,1080201,土地1建物1車位1,十四層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971223,63.67,0,0,0,無,有,無,21000,330,坡道平面,34.83,0,,RPSOMLLKKHOFFEF48CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市五路三段３２２號九樓,7.71,商,,,1080203,土地1建物1車位1,九層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061229,86.63,1,2,1,有,有,有,15000,173,坡道機械,15.42,0,,RPTOMLLKKHOFFEF58CC
淡水區,房地(土地+建物),新北市淡水區新市一路一段４８號七樓,15.63,住,,,1080126,土地1建物1車位0,七層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000214,110.33,3,2,2,有,有,有,18000,163,,0.0,0,,RPWOMLLKKHOFFEF88CC
新莊區,房地(土地+建物)+車位,新北市新莊區樹新路２０６號十三樓,12.0,商,,,1080120,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060419,154.82999999999998,3,1,2,有,有,有,24000,155,坡道平面,26.94,0,,RPOOMLLKKHOFFBF77CC
新莊區,建物,新北市新莊區富國路１７６巷５號２樓之６,0.0,商,,,1080110,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821207,81.67,2,1,1,有,有,無,16000,196,,0.0,0,,RPRPMLLKKHOFFBF18CC
