編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVNMLRJJHKGFAV27CB,坡道平面,860000,33.67,地下三樓
RPPNMLKLKIJGFAV88CB,坡道平面,1300000,27.30,地下二樓
RPPNMLTKKIJGFAV07CB,一樓平面,1300000,,一樓
RPPNMLRLKIJGFAV96CB,其他,700000,,一樓
RPQNMLRJJHKGFAV76CB,坡道平面,1110000,33.67,地下二樓
RPUNMLRJJHKGFAV17CB,坡道平面,1210000,33.67,地下一樓
RPPNMLRJJHKGFAV66CB,坡道平面,1260000,33.67,地下一樓
RPPNMLRJJHKGFAV66CB,坡道平面,1110000,32.57,地下一樓
RPQNMLQLJIJGFAV86CB,其他,0,,一樓
RPQNMLSJJHKGFAV86CB,坡道平面,1060000,33.67,地下一樓
RPTNMLRJJHKGFAV07CB,坡道平面,960000,33.67,地下三樓
RPPNMLSJJHKGFAV76CB,坡道平面,1010000,33.67,地下三樓
RPPNMLPLKIJGFAV76CB,其他,0,,一樓
RPPNMLNKJHKGFAV98CB,坡道平面,1210000,33.67,地下一樓
RPPNMLKKJHKGFAV68CB,坡道平面,1010000,33.67,地下三樓
RPSNMLSJJHKGFAV07CB,坡道平面,1010000,33.67,地下二樓
RPVNMLSJJHKGFAV37CB,坡道平面,860000,32.57,地下三樓
RPXNMLSJJHKGFAV57CB,坡道平面,910000,33.67,地下三樓
RPOOMLSJJHKGFAV76CB,坡道平面,1010000,33.67,地下二樓
RPXNMLNKJHKGFAV17CB,坡道平面,1210000,33.67,地下一樓
RPSNMLNKJHKGFAV66CB,坡道平面,1060000,32.57,地下二樓
RPSNMLNKJHKGFAV66CB,坡道平面,1060000,33.67,地下二樓
RPWNMLSJJHKGFAV47CB,坡道平面,1110000,33.67,地下二樓
RPRNMLNKJHKGFAV56CB,坡道平面,1060000,33.67,地下三樓
RPWNMLNKJHKGFAV07CB,坡道平面,1160000,33.67,地下二樓
RPVNMLNKJHKGFAV96CB,坡道平面,1110000,33.67,地下二樓
RPUNMLNKJHKGFAV86CB,坡道平面,1010000,33.67,地下三樓
RPTNMLSJJHKGFAV17CB,坡道平面,1010000,33.67,地下三樓
RPTNMLNKJHKGFAV76CB,坡道平面,910000,32.57,地下三樓
RPQOMLNKJHKGFAV56CB,坡道平面,1210000,33.67,地下一樓
RPQNMLNKJHKGFAV09CB,坡道平面,1210000,33.67,地下一樓
RPRNMLQKJHKGFAV86CB,坡道平面,1210000,33.67,地下一樓
RPTOMLNKJHKGFAV86CB,坡道平面,1300000,27.30,地下二樓
RPPOMLNKJHKGFAV09CB,坡道平面,960000,33.67,地下三樓
RPSOMLNKJHKGFAV76CB,坡道平面,1110000,33.67,地下二樓
RPQNMLQKJHKGFAV76CB,坡道平面,1110000,33.67,地下二樓
RPQNMLOKJHKGFAV56CB,一樓平面,1100000,18.72,一樓
RPROMLNKJHKGFAV66CB,坡道平面,1010000,33.67,地下三樓
RPUOMLNKJHKGFAV96CB,坡道平面,1300000,27.30,地下二樓
RPVOMLNKJHKGFAV07CB,坡道平面,960000,33.67,地下三樓
RPOOMLNKJHKGFAV98CB,坡道平面,1160000,33.67,地下二樓
RPPNMLQKJHKGFAV66CB,坡道平面,1260000,33.67,地下一樓
RPPNMLOKJHKGFAV09CB,一樓平面,1100000,18.72,一樓
RPPNMLQLKIJGFAV96DB,一樓平面,400000,13.75,一樓
RPRNMLSJJHKGFAV96CB,坡道平面,1210000,33.67,地下一樓
RPQNMLKLJHKGFAV88CB,坡道平面,1010000,33.67,地下三樓
RPPNMLQJKHKGFAV66CB,一樓平面,1000000,13.75,一樓
RPUNMLQKJHKGFAV17CB,其他,0,,一樓
RPRNMLKLJHKGFAV98CB,坡道平面,1010000,33.67,地下三樓
RPQNMLNLJHKGFAV56CB,升降機械,1100000,9.92,一樓
RPPNMLKLJHKGFAV78CB,坡道平面,1160000,33.67,地下一樓
RPTNMLQKJHKGFAV07CB,坡道平面,1060000,33.67,地下二樓
RPSNMLQKJHKGFAV96CB,坡道平面,1160000,33.67,地下二樓
RPPNMLNLJHKGFAV09CB,坡道平面,910000,33.67,地下三樓
RPQNMLQLKIJGFAV07DB,一樓平面,400000,13.75,一樓
RPQNMLRKKHKGFAV96CB,坡道平面,1210000,33.67,地下一樓
RPPNMLTJKHKGFAV96CB,坡道平面,1300000,27.30,地下二樓
RPQNMLTJKHKGFAV07CB,坡道平面,1300000,27.30,地下二樓
RPPNMLRJLHKGFAV86CB,坡道平面,1400000,27.30,地下一樓
RPPNMLRKKHKGFAV86CB,其他,700000,,一樓
