編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLMJKIJGFAO18CB,一樓平面,1900000,,一樓
RPPNMLTKJIJGFAO88CB,坡道平面,1950000,32.07,地下二樓
RPPNMLNJKIJGFAO28CB,坡道平面,2250000,26.81,地下一樓
RPTNMLRLJIJGFAO56CB,坡道平面,2150000,34.02,地下四樓
RPPNMLNJKIJGFAO28CB,坡道平面,2250000,26.81,地下一樓
RPPNMLQLJIJGFAO68CB,坡道平面,2500000,18.26,地下二樓
RPPNMLKLJIJGFAO08CB,坡道平面,2500000,27.20,地下三樓
RPPNMLPLJIJGFAO58CB,坡道平面,2200000,23.83,地下四樓
RPPNMLPLJIJGFAO58CB,坡道平面,2100000,21.92,地下四樓
RPPNMLTLJIJGFAO98CB,坡道平面,2300000,26.81,地下一樓
RPPNMLTLJIJGFAO98CB,坡道平面,2250000,26.81,地下一樓
RPRNMLLLJIJGFAO38CB,坡道平面,1850000,34.02,地下三樓
RPTNMLLLJIJGFAO58CB,坡道平面,1850000,34.02,地下五樓含以下
RPSNMLLLJIJGFAO48CB,坡道平面,1950000,32.15,地下三樓
RPQNMLRLJIJGFAO88CB,坡道平面,1750000,32.15,地下五樓含以下
RPQNMLPLJIJGFAO68CB,坡道平面,2100000,29.62,地下三樓
RPQNMLPLJIJGFAO68CB,坡道平面,2000000,27.25,地下三樓
RPSNMLRLJIJGFAO09CB,坡道平面,1950000,34.02,地下二樓
RPPNMLRKJIJGFAO68CB,坡道平面,2500000,18.60,地下二樓
RPPNMLRLJIJGFAO78CB,坡道平面,2050000,34.02,地下三樓
RPQNMLNJKIJGFAO38CB,坡道平面,2800000,34.51,地下二樓
RPRNMLRLJIJGFAO98CB,坡道平面,1850000,32.15,地下四樓
RPQNMLLKKIJGFAO28CB,坡道平面,1550000,35.92,地下三樓
RPPNMLLKKIJGFAO18CB,坡道平面,1850000,35.92,地下一樓
RPPNMLLKKIJGFAO18CB,坡道平面,1850000,35.92,地下一樓
RPVNMLNJKIJGFAO88CB,坡道平面,2650000,34.51,地下三樓
RPVNMLNJKIJGFAO88CB,坡道平面,2650000,34.51,地下三樓
RPRNMLLKKIJGFAO38CB,坡道平面,1550000,35.92,地下三樓
RPQNMLQJKIJGFAO68CB,一樓平面,2000000,18.82,一樓
RPWNMLNJKIJGFAO98CB,坡道平面,2650000,39.04,地下四樓
RPQNMLQJKIJGFAO68CB,坡道平面,2100000,18.82,地下一樓
RPPNMLOJKIJGFAO38CB,坡道平面,2450000,17.88,地下一樓
RPPNMLOJKIJGFAO38CB,坡道平面,2400000,17.88,地下一樓
RPRNMLNJKIJGFAO48CB,坡道平面,2800000,34.51,地下二樓
RPRNMLNJKIJGFAO48CB,坡道平面,2800000,34.51,地下二樓
RPSNMLNJKIJGFAO58CB,坡道平面,2650000,34.51,地下三樓
RPPNMLSJKIJGFAO78CB,坡道平面,2080000,26.71,地下二樓
RPSNMLLKKIJGFAO48CB,坡道平面,1550000,35.92,地下三樓
RPTNMLLKKIJGFAO58CB,坡道平面,1650000,35.92,地下二樓
RPTNMLNJKIJGFAO68CB,坡道平面,2550000,34.51,地下四樓
RPVNMLLKKIJGFAO78CB,坡道平面,1550000,35.92,地下三樓
RPUNMLNJKIJGFAO78CB,坡道平面,2650000,34.51,地下三樓
RPUNMLLKKIJGFAO68CB,坡道平面,1650000,35.92,地下二樓
RPOOMLLKKIJGFAO18CB,坡道平面,1800000,30.25,地下二樓
RPXNMLLKKIJGFAO98CB,坡道平面,1550000,35.92,地下三樓
RPQOMLLKKIJGFAO38CB,坡道平面,1750000,35.92,地下一樓
RPWNMLLKKIJGFAO88CB,坡道平面,1650000,35.92,地下二樓
RPROMLLKKIJGFAO48CB,坡道平面,1800000,35.92,地下二樓
RPPOMLLKKIJGFAO28CB,坡道平面,1650000,35.92,地下二樓
RPUOMLLKKIJGFAO78CB,坡道平面,1750000,35.92,地下一樓
RPVOMLLKKIJGFAO88CB,坡道平面,1650000,35.92,地下二樓
RPWOMLLKKIJGFAO98CB,坡道平面,1750000,35.92,地下二樓
RPWOMLLKKIJGFAO98CB,坡道平面,1750000,35.92,地下二樓
RPOPMLLKKIJGFAO28CB,坡道平面,1900000,35.92,地下一樓
RPPPMLLKKIJGFAO38CB,坡道平面,1850000,35.92,地下一樓
RPPPMLLKKIJGFAO38CB,坡道平面,1850000,35.92,地下一樓
RPRPMLLKKIJGFAO58CB,坡道平面,2350000,34.02,地下二樓
RPSOMLLKKIJGFAO58CB,坡道平面,1750000,35.92,地下一樓
RPPNMLPKKIJGFAO58CB,坡道平面,2600000,26.45,地下四樓
RPQPMLLKKIJGFAO48CB,坡道平面,1850000,32.15,地下四樓
RPXOMLLKKIJGFAO09CB,坡道平面,1800000,35.92,地下二樓
RPTOMLLKKIJGFAO68CB,坡道平面,1750000,35.92,地下二樓
RPTOMLLKKIJGFAO68CB,坡道平面,1750000,35.92,地下二樓
RPSPMLLKKIJGFAO68CB,坡道平面,1950000,34.02,地下四樓
RPQNMLQKKIJGFAO78CB,一樓平面,0,,一樓
RPQNMLQKKIJGFAO78CB,一樓平面,0,,一樓
RPUPMLLKKIJGFAO88CB,坡道平面,2150000,34.02,地下二樓
RPTPMLLKKIJGFAO78CB,坡道平面,1850000,34.02,地下五樓含以下
RPRNMLQKKIJGFAO88CB,坡道平面,2400000,17.88,地下一樓
RPRNMLQKKIJGFAO88CB,坡道平面,2400000,16.81,地下一樓
RPPNMLQKKIJGFAO68CB,坡道平面,2500000,27.20,地下三樓
RPVNMLQKKIJGFAO66CB,坡道平面,2450000,17.88,地下一樓
RPVNMLQKKIJGFAO66CB,坡道平面,2400000,16.81,地下一樓
RPTNMLQKKIJGFAO09CB,坡道平面,2400000,17.88,地下一樓
RPPOMLQKKIJGFAO78CB,坡道平面,2300000,17.88,地下二樓
RPPOMLQKKIJGFAO78CB,坡道平面,2300000,16.81,地下二樓
RPWNMLQKKIJGFAO76CB,坡道平面,2300000,16.81,地下二樓
RPWNMLQKKIJGFAO76CB,坡道平面,2350000,17.88,地下二樓
RPSNMLQKKIJGFAO98CB,一樓平面,0,,一樓
RPSNMLQKKIJGFAO98CB,一樓平面,0,,一樓
RPUNMLQKKIJGFAO56CB,坡道平面,2550000,21.45,地下一樓
RPUNMLQKKIJGFAO56CB,坡道平面,2550000,21.45,地下一樓
RPXNMLQKKIJGFAO86CB,坡道平面,2550000,17.88,地下一樓
RPSOMLQKKIJGFAO09CB,坡道平面,1450000,47.23,地下一樓
RPQOMLQKKIJGFAO88CB,坡道平面,2550000,17.88,地下一樓
RPTOMLQKKIJGFAO56CB,坡道平面,1450000,47.23,地下一樓
RPRNMLRKKIJGFAO98CB,坡道平面,2550000,17.88,地下一樓
RPQNMLRKKIJGFAO88CB,坡道平面,2350000,17.88,地下二樓
RPUNMLRKKIJGFAO66CB,坡道平面,2550000,17.88,地下一樓
RPQNMLRKKIJGFAO88CB,坡道平面,2300000,16.81,地下二樓
