編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLPJJIJFFAO58DB,坡道平面,1170000,7.70,
RPUNMLPJJIJFFAO88DB,坡道平面,930000,7.70,
RPWNMLPJJIJFFAO09DB,坡道平面,980000,7.20,
RPTNMLPJJIJFFAO78DB,坡道平面,1170000,7.70,
RPTNMLPJJIJFFAO78DB,坡道平面,1120000,7.70,
RPPOMLPJJIJFFAO48DB,坡道平面,1220000,7.70,
RPSNMLPJJIJFFAO68DB,坡道平面,930000,7.70,
RPOOMLPJJIJFFAO38DB,坡道平面,980000,7.20,
RPVNMLPJJIJFFAO98DB,坡道平面,930000,7.20,
RPQNMLPJJIJFFAO48DB,坡道平面,980000,7.20,
RPXNMLPJJIJFFAO56DB,坡道平面,1120000,7.70,
RPQOMLPJJIJFFAO58DB,坡道平面,1120000,7.70,
RPPPMLPJJIJFFAO58DB,坡道平面,930000,7.20,
RPVOMLPJJIJFFAO09DB,坡道平面,1220000,7.70,
RPXOMLPJJIJFFAO66DB,坡道平面,1220000,8.50,
RPXOMLPJJIJFFAO66DB,坡道平面,1220000,7.70,
RPSOMLPJJIJFFAO78DB,坡道平面,1170000,8.50,
RPOPMLPJJIJFFAO48DB,坡道平面,1120000,7.70,
RPROMLPJJIJFFAO68DB,坡道平面,1120000,7.70,
RPTOMLPJJIJFFAO88DB,坡道平面,1120000,10.90,
RPQPMLPJJIJFFAO68DB,坡道平面,1120000,7.70,
RPRPMLPJJIJFFAO78DB,坡道平面,1120000,7.70,
RPSPMLPJJIJFFAO88DB,坡道平面,1220000,7.70,
RPSPMLPJJIJFFAO88DB,坡道平面,1170000,7.20,
RPUOMLPJJIJFFAO98DB,坡道平面,1170000,7.70,
RPUPMLPJJIJFFAO09DB,坡道平面,1170000,7.70,
RPWOMLPJJIJFFAO56DB,坡道平面,1220000,10.90,
RPTPMLPJJIJFFAO98DB,坡道平面,1120000,7.70,
RPVPMLPJJIJFFAO56DB,坡道平面,980000,7.20,
RPSQMLPJJIJFFAO98DB,坡道平面,1220000,7.70,
RPQQMLPJJIJFFAO78DB,坡道平面,1220000,7.70,
RPQQMLPJJIJFFAO78DB,坡道平面,1220000,8.50,
RPXPMLPJJIJFFAO76DB,坡道平面,1220000,7.70,
RPXPMLPJJIJFFAO76DB,坡道平面,1220000,8.50,
RPOQMLPJJIJFFAO58DB,坡道平面,1220000,7.70,
RPUQMLPJJIJFFAO56DB,坡道平面,1170000,7.70,
RPPQMLPJJIJFFAO68DB,坡道平面,1170000,7.70,
RPTQMLPJJIJFFAO09DB,坡道平面,1220000,7.70,
RPTQMLPJJIJFFAO09DB,坡道平面,1170000,7.70,
RPWPMLPJJIJFFAO66DB,坡道平面,1120000,7.70,
RPVQMLPJJIJFFAO66DB,坡道平面,1220000,7.70,
RPVQMLPJJIJFFAO66DB,坡道平面,1170000,7.70,
RPRQMLPJJIJFFAO88DB,坡道平面,1170000,7.70,
RPWQMLPJJIJFFAO76DB,坡道平面,1270000,8.50,
RPXQMLPJJIJFFAO86DB,坡道平面,1030000,7.20,
RPPRMLPJJIJFFAO78DB,坡道平面,1120000,7.70,
RPTRMLPJJIJFFAO56DB,坡道平面,1170000,7.70,
RPQRMLPJJIJFFAO88DB,坡道平面,1170000,7.70,
RPQRMLPJJIJFFAO88DB,坡道平面,1170000,7.70,
RPRRMLPJJIJFFAO98DB,坡道平面,1120000,7.70,
RPORMLPJJIJFFAO68DB,坡道平面,1220000,8.50,
RPSRMLPJJIJFFAO09DB,坡道平面,980000,7.70,
RPURMLPJJIJFFAO66DB,坡道平面,1220000,8.50,
RPWRMLPJJIJFFAO86DB,坡道平面,1220000,7.70,
RPWRMLPJJIJFFAO86DB,坡道平面,1170000,7.70,
RPVRMLPJJIJFFAO76DB,坡道平面,1220000,7.70,
RPOSMLPJJIJFFAO78DB,坡道平面,1120000,7.20,
RPPSMLPJJIJFFAO88DB,坡道平面,1270000,8.50,
RPXRMLPJJIJFFAO96DB,坡道平面,1270000,8.50,
RPSSMLPJJIJFFAO56DB,坡道平面,1170000,7.70,
RPWSMLPJJIJFFAO96DB,坡道平面,1120000,7.20,
RPPTMLPJJIJFFAO98DB,坡道平面,1120000,7.70,
RPRSMLPJJIJFFAO09DB,坡道平面,1170000,7.20,
RPOTMLPJJIJFFAO88DB,坡道平面,1220000,7.70,
RPVSMLPJJIJFFAO86DB,坡道平面,1170000,7.70,
RPTSMLPJJIJFFAO66DB,坡道平面,1220000,8.50,
RPQSMLPJJIJFFAO98DB,坡道平面,1220000,7.70,
RPXSMLPJJIJFFAO07DB,坡道平面,1220000,7.70,
RPXSMLPJJIJFFAO07DB,坡道平面,1170000,7.70,
RPUSMLPJJIJFFAO76DB,坡道平面,1220000,7.70,
RPSTMLPJJIJFFAO66DB,坡道平面,1270000,8.50,
RPWTMLPJJIJFFAO07DB,坡道平面,1170000,7.70,
RPRTMLPJJIJFFAO56DB,坡道平面,1120000,7.70,
RPQTMLPJJIJFFAO09DB,坡道平面,1170000,7.70,
RPTTMLPJJIJFFAO76DB,坡道平面,1170000,7.70,
RPUTMLPJJIJFFAO86DB,坡道平面,1270000,8.50,
RPVTMLPJJIJFFAO96DB,坡道平面,1120000,7.70,
RPXTMLPJJIJFFAO17DB,坡道平面,980000,7.70,
RPWUMLPJJIJFFAO17DB,坡道平面,1170000,7.70,
RPVUMLPJJIJFFAO07DB,坡道平面,1270000,8.50,
RPUUMLPJJIJFFAO96DB,坡道平面,1170000,7.70,
RPXUMLPJJIJFFAO27DB,坡道平面,1220000,8.50,
RPOUMLPJJIJFFAO98DB,坡道平面,1120000,7.70,
RPSUMLPJJIJFFAO76DB,坡道平面,1030000,7.20,
RPRUMLPJJIJFFAO66DB,坡道平面,1170000,7.70,
RPRUMLPJJIJFFAO66DB,坡道平面,1170000,7.70,
RPQUMLPJJIJFFAO56DB,坡道平面,1170000,7.70,
RPQUMLPJJIJFFAO56DB,坡道平面,1120000,7.70,
RPTUMLPJJIJFFAO86DB,坡道平面,1120000,7.70,
RPPUMLPJJIJFFAO09DB,坡道平面,1030000,7.20,
RPPVMLPJJIJFFAO56DB,坡道平面,1220000,7.70,
RPOVMLPJJIJFFAO09DB,坡道平面,930000,7.70,
RPQVMLPJJIJFFAO66DB,坡道平面,1170000,7.70,
RPRVMLPJJIJFFAO76DB,坡道平面,1170000,7.70,
RPRVMLPJJIJFFAO76DB,坡道平面,1170000,7.70,
RPSVMLPJJIJFFAO86DB,坡道平面,1030000,7.20,
RPUVMLPJJIJFFAO07DB,坡道平面,1120000,7.70,
RPTVMLPJJIJFFAO96DB,坡道平面,980000,7.20,
RPVVMLPJJIJFFAO17DB,坡道平面,1170000,7.70,
