編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLRLJIKFFCH48EA,坡道平面,0,31.40,
RPUNMLTJJIKFFFH09DA,坡道平面,0,,
RPVNMLOJJIKFFGH78DA,坡道平面,0,,
RPXNMLTJKIKFFAH09EA,坡道平面,0,,
RPQQMLOJJIKFFBH08DA,坡道平面,0,,
RPXPMLNJJIKFFBH58DA,坡道平面,0,,
RPXNMLQJJIKFFDH78CA,坡道平面,1200000,24.84,
RPQPMLNJJIKFFAH77DA,坡道平面,0,,
RPSOMLTJJIKFFDH68CA,坡道平面,0,,
RPVPMLLKKIKFFAH38EA,坡道平面,0,,
RPWNMLNJJIKFFDH38CA,坡道平面,0,15.00,
RPVPMLRKJIKFFDH98CA,坡道平面,0,,
RPPNMLPJJIKFFAH67DA,坡道平面,0,,
RPPNMLPJJIKFFAH67DA,坡道平面,0,,
RPVNMLQJJIKFFCH48CA,坡道平面,1200000,28.26,
RPSNMLNKJIKFFEH18CA,其他,0,,
RPUNMLNKJIKFFEH38CA,坡道平面,0,,
RPUNMLNKJIKFFEH38CA,坡道平面,0,,
RPTNMLRJJIKFFFH68CA,坡道平面,1150000,22.51,
RPPSMLKMJIKFFEH28CA,坡道平面,1050000,36.59,
RPVNMLMKJIKFFFH48CA,坡道平面,0,,
RPWNMLNJJIKFFGH68CA,一樓平面,0,,
RPVQMLNJJIKFFFH78CA,坡道平面,1100000,29.85,
RPQOMLOJJIKFFGH28CA,坡道平面,0,35.91,
RPPOMLOJJIKFFGH18CA,坡道平面,0,33.56,
RPSQMLPJJHLFFEH78EA,坡道平面,0,,
RPSQMLPJJHLFFEH78EA,坡道平面,0,,
RPUNMLPLJIKFFFH78CA,坡道平面,1250000,35.26,
RPTUMLMKJIKFFGH09CA,坡道平面,0,,
RPUUMLMKJIKFFGH56CA,坡道平面,0,,
RPPNMLOJKIKFFCH77CA,坡道平面,0,,
RPROMLKLJIKFFGH18CA,坡道平面,1300000,33.55,
RPSOMLKLJIKFFGH28CA,坡道平面,1350000,33.55,
RPVNMLOJJIKFFAH08CA,坡道平面,1400000,48.16,
RPWPMLQKJIKFFAH68CA,坡道平面,0,,
RPWPMLQKJIKFFAH68CA,坡道平面,0,,
RPWPMLQKJIKFFAH68CA,坡道平面,0,,
RPQNMLNLJIKFFAH67CA,坡道平面,0,,
RPXQMLNLJIKFFAH68CA,坡道平面,1570000,34.46,
RPPUMLMKJIKFFGH68CA,坡道平面,0,,
RPQUMLMKJIKFFGH78CA,坡道平面,0,,
RPOUMLMKJIKFFGH58CA,坡道平面,0,,
RPXPMLMJJIKFFBH38CA,坡道平面,0,26.46,
RPXPMLMJJIKFFBH38CA,坡道平面,0,26.46,
RPOQMLNJJIKFFBH67CA,坡道平面,1200000,35.28,
RPOQMLNJJIKFFBH67CA,坡道平面,1200000,35.28,
RPVOMLPJJIKFFBH38CA,升降機械,0,12.00,
RPTNMLPLJIKFFAH18CA,坡道平面,1650000,28.19,
RPRUMLMKJIKFFGH88CA,坡道平面,0,,
RPSUMLMKJIKFFGH98CA,坡道平面,0,,
RPXNMLKKJIKFFBH08CA,坡道平面,1400000,30.72,
RPXNMLKKJIKFFBH08CA,坡道平面,1400000,30.72,
RPOOMLKKJIKFFBH27CA,坡道平面,1450000,30.72,
RPOOMLKKJIKFFBH27CA,坡道平面,1450000,30.72,
RPRPMLKKJIKFFBH67CA,坡道平面,1680500,36.10,
RPRPMLKKJIKFFBH67CA,坡道平面,1680500,36.10,
RPPNMLMKJIKFFBH47CA,坡道平面,0,28.05,
RPRQMLLKJIKFFBH87CA,坡道平面,0,,
RPOQMLRKJIKFFBH18CA,坡道平面,0,,
RPWPMLNLJIKFFBH58CA,坡道平面,0,,
RPPQMLLJKIKFFBH67CA,坡道平面,1584000,,
RPOQMLLJKIKFFBH57CA,坡道平面,1680500,,
RPOQMLLJKIKFFBH57CA,坡道平面,1680500,,
RPQPMLNLJIKFFBH97CA,坡道平面,1250000,38.34,
RPOPMLNLJIKFFBH77CA,坡道平面,1250000,38.34,
RPRNMLRKJIKFFBH18CA,坡道平面,0,35.43,
RPRNMLRKJIKFFBH18CA,坡道平面,0,35.43,
RPSNMLRKJIKFFBH28CA,坡道平面,0,35.43,
RPSNMLRKJIKFFBH28CA,坡道平面,0,35.43,
RPUNMLTKJIKFFGH56CA,坡道平面,0,,
RPQQMLLJKIKFFBH77CA,坡道平面,1496000,,
RPQQMLLJKIKFFBH77CA,坡道平面,1496000,,
RPTNMLRKJIKFFBH38CA,坡道平面,0,35.43,
RPTNMLRKJIKFFBH38CA,坡道平面,0,35.43,
RPTNMLRKJIKFFBH38CA,坡道平面,0,35.43,
RPUNMLRKJIKFFBH48CA,坡道平面,0,35.43,
RPUNMLRKJIKFFBH48CA,坡道平面,0,35.43,
RPUNMLRKJIKFFBH48CA,坡道平面,0,35.43,
RPQNMLRKJIKFFBH08CA,坡道平面,0,35.43,
RPQNMLRKJIKFFBH08CA,坡道平面,0,35.43,
RPPNMLRKJIKFFBH97CA,坡道平面,0,35.43,
RPPNMLRKJIKFFBH97CA,坡道平面,0,35.43,
RPXNMLRKJIKFFBH78CA,坡道平面,0,35.43,
RPXNMLRKJIKFFBH78CA,坡道平面,0,35.43,
RPWNMLRKJIKFFBH68CA,坡道平面,0,35.43,
RPWNMLRKJIKFFBH68CA,坡道平面,0,35.43,
RPOOMLRKJIKFFBH97CA,坡道平面,0,35.43,
RPOOMLRKJIKFFBH97CA,坡道平面,0,35.43,
RPRPMLPJJIKFFBH08CA,坡道平面,0,,
