鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
西螺鎮,房地(土地+建物),雲林縣西螺鎮九隆路,138.58,,鄉村區,乙種建築用地,1130512,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,197.99,4,2,3,有,無,13600000,68690,,0.0,0,,RPSNMLNKNHJGFCP56CB,吾家大院,A棟A1號,
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮文昌路,41.52,住,,,1130511,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.06,2,2,2,有,無,8100000,63577,一樓平面,16.53,1200000,,RPUNMLNKNHJGFCP76CB,宇賀闊朗,E棟2號,
斗六市,房地(土地+建物),雲林縣斗六市內環路自治街口,33.08,住,,,1130511,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.34,2,1,2,有,無,8875000,101614,,0.0,0,,RPRNMLOKNHJGFAP98CB,聖德淳風七期,A5號,
麥寮鄉,房地(土地+建物)+車位,雲林縣麥寮鄉橋頭村橋頭門牌尚未申請,35.32,,鄉村區,乙種建築用地,1130513,土地3建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,154.12,3,2,2,有,無,8670000,62088,坡道平面,29.78,950000,,RPRNMLOKNHJGFFP86CB,一品苑,B棟1號,
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮延平路二段,34.48,,特定農業區,甲種建築用地,1130511,土地3建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.32,3,1,2,有,無,10800000,86466,坡道平面,28.98,1000000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPPNMLPKNHJGFBP98CB,春不老,B棟1號,
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮延平路二段,25.77,,特定農業區,甲種建築用地,1130511,土地3建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.77,1,1,1,有,無,8000000,81595,坡道平面,28.98,1000000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPRNMLPKNHJGFBP56CB,春不老,C棟1號,
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮延平路二段,32.19,,特定農業區,甲種建築用地,1130512,土地3建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.83,3,1,2,有,無,10200000,86915,坡道平面,28.98,1000000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPSNMLPKNHJGFBP66CB,春不老,B棟3號,
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮延平路二段,41.48,,特定農業區,甲種建築用地,1130512,土地3建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,167.0,3,1,2,有,無,12800000,85495,坡道平面,28.98,1000000,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPTNMLPKNHJGFBP76CB,春不老,C棟2號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮學府西路,13.76,商,,,1130513,土地2建物1車位1,十二層,15,辦公商業大樓,住商用,鋼筋混凝土造,,104.44,0,0,0,無,無,8790000,90627,坡道平面,24.0,1500000,,RPQNMLPKNHJGFDP66CB,高鐵安縵,A棟5號,
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村山寮路門牌尚未申請,112.91,,鄉村區,乙種建築用地,1130514,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,184.85,5,1,5,有,無,9500000,51393,,0.0,0,,RPPNMLPKNHJGFFP76CB,山寮888社區,B棟3號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市內環路自治街口,33.08,住,,,1130515,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.54,2,1,2,有,無,9800000,95031,一樓平面,18.2,1500000,,RPPNMLRKNHJGFAP09CB,聖德淳風七期,A2號,
西螺鎮,房地(土地+建物),雲林縣西螺鎮頂湳段228地號,76.78,,鄉村區,乙種建築用地,1130516,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,116.83,3,2,3,有,無,8200000,70187,,0.0,0,,RPPNMLRKNHJGFCP66CB,璟馥-2,A棟3號,
土庫鎮,房地(土地+建物)+車位,雲林縣土庫鎮復興路,43.02,住,,,1130512,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.37,3,2,2,有,無,7200000,58328,一樓平面,21.36,900000,,RPQOMLRKNHJGFDP96CB,百富5期,4FD5棟0號,
崙背鄉,房地(土地+建物),雲林縣崙背鄉南昌路,84.08,住,,,1130513,土地1建物1車位0,全,3,透天厝,住家用,見其他登記事項,,162.85,4,1,3,有,無,13000000,79828,,0.0,0,,RPQNMLRKNHJGFCP86DB,閤豐大吉利,A棟1號,
西螺鎮,房地(土地+建物),雲林縣西螺鎮東南路,161.47,住,,,1130517,土地9建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,267.49,4,3,5,有,無,19000000,71031,,0.0,0,,RPPNMLKLNHJGFCP68CB,宇荃寶家,B棟26號,
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮社東段0792-0000,18.86,商,,,1130511,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.42,2,2,2,有,無,6550000,67568,坡道平面,24.28,1000000,,RPVOMLKLNHJGFCP76CB,築夢成真,10樓A棟6號,
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮社東段0792-0000,22.16,商,,,1130512,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.75,3,2,2,有,無,7260000,64891,坡道平面,24.28,1000000,,RPWOMLKLNHJGFCP86CB,築夢成真,4樓A棟1號,
西螺鎮,房地(土地+建物),雲林縣西螺鎮社東段0792-0000,14.91,商,,,1130513,土地1建物1車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,64.99,2,0,2,有,無,4510000,69395,,0.0,0,,RPXOMLKLNHJGFCP96CB,築夢成真,7樓B棟1號,
西螺鎮,房地(土地+建物),雲林縣西螺鎮社東段0792-0000,14.91,商,,,1130513,土地1建物1車位0,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,64.99,2,0,2,有,無,4620000,71088,,0.0,0,,RPOPMLKLNHJGFCP78CB,築夢成真,9樓B棟6號,
西螺鎮,房地(土地+建物),雲林縣西螺鎮社東段0792-0000,14.07,商,,,1130517,土地1建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,61.23,2,0,2,有,無,4300000,70227,,0.0,0,,RPPPMLKLNHJGFCP88CB,築夢成真,6樓B棟3號,
斗六市,房地(土地+建物),雲林縣斗六市石榴路369巷119弄,87.59,,一般農業區,甲種建築用地,1130518,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,159.35,3,2,3,有,無,11200000,70286,,0.0,0,,RPPNMLLLNHJGFAP58CB,築澤臻美,B棟13號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,37.57,商,,,1130513,土地1建物1車位2,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,382.63,4,2,3,有,無,26550000,72625,坡道平面,58.36,3000000,,RPQNMLLLNHJGFAP68CB,勝麗MVP,B3棟01F號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,14.27,商,,,1130513,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.29,3,2,2,有,無,11000000,78791,坡道平面,29.18,1300000,,RPRNMLLLNHJGFAP78CB,勝麗MVP,D1棟04F號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,14.27,商,,,1130513,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.29,3,2,2,有,無,11900000,87726,坡道平面,29.18,1100000,,RPSNMLLLNHJGFAP88CB,勝麗MVP,C1棟11F號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,9.61,商,,,1130513,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.11,2,2,1,有,無,7700000,79648,坡道平面,27.99,1000000,,RPTNMLLLNHJGFAP98CB,勝麗MVP,A2棟05F號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市長沙街、棒球十三街,9.9,商,,,1130513,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.3,2,2,1,有,無,7960000,81550,坡道平面,29.18,1100000,,RPUNMLLLNHJGFAP09CB,勝麗MVP,C2棟05F號,
西螺鎮,房地(土地+建物),雲林縣西螺鎮頂湳段228地號,72.2,,鄉村區,乙種建築用地,1130518,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,118.32,3,2,3,有,無,7650000,64655,,0.0,0,,RPRNMLLLNHJGFCP98CB,璟馥-2,B棟5號,
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮頂湳段228地號,33.9,,鄉村區,乙種建築用地,1130519,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.09,2,2,2,有,無,5280000,57188,一樓平面,13.5,900000,,RPSNMLLLNHJGFCP09CB,璟馥-2,E棟4號,
土庫鎮,房地(土地+建物),雲林縣土庫鎮仁愛街,96.61,,鄉村區,乙種建築用地,1130519,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,156.52,4,1,5,有,無,9200000,58778,,0.0,0,,RPQNMLLLNHJGFDP98CB,寬庭馬光綻一期,A棟3號,
土庫鎮,房地(土地+建物),雲林縣土庫鎮仁愛街,95.82,,鄉村區,乙種建築用地,1130519,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.97,4,1,5,有,無,9200000,58986,,0.0,0,,RPRNMLLLNHJGFDP09CB,寬庭馬光綻一期,A棟7號,
土庫鎮,房地(土地+建物),雲林縣土庫鎮仁愛街,95.81,,鄉村區,乙種建築用地,1130516,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.97,4,1,5,有,無,9200000,58986,,0.0,0,,RPSNMLLLNHJGFDP56CB,寬庭馬光綻一期,A棟8號,
土庫鎮,房地(土地+建物),雲林縣土庫鎮仁愛街,98.04,,鄉村區,乙種建築用地,1130516,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.97,4,1,5,有,無,9100000,58345,,0.0,0,,RPTNMLLLNHJGFDP66CB,寬庭馬光綻一期,A棟11號,
土庫鎮,房地(土地+建物),雲林縣土庫鎮仁愛街,87.06,,鄉村區,乙種建築用地,1130513,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,164.7,4,1,5,有,無,9380000,56952,,0.0,0,,RPUNMLLLNHJGFDP76CB,寬庭馬光綻一期,A棟15號,
土庫鎮,房地(土地+建物),雲林縣土庫鎮仁愛街,88.97,,鄉村區,乙種建築用地,1130518,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.97,4,1,5,有,無,9380000,60140,,0.0,0,,RPVNMLLLNHJGFDP86CB,寬庭馬光綻一期,A棟16號,
土庫鎮,房地(土地+建物),雲林縣土庫鎮仁愛街,85.79,,鄉村區,乙種建築用地,1130519,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.97,4,1,5,有,無,9380000,60140,,0.0,0,,RPWNMLLLNHJGFDP96CB,寬庭馬光綻一期,A棟18號,
土庫鎮,房地(土地+建物),雲林縣土庫鎮仁愛街,84.22,,鄉村區,乙種建築用地,1130514,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.97,4,1,5,有,無,9380000,60140,,0.0,0,,RPXNMLLLNHJGFDP07CB,寬庭馬光綻一期,A棟19號,
土庫鎮,房地(土地+建物),雲林縣土庫鎮仁愛街,86.65,,鄉村區,乙種建築用地,1130517,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,156.52,4,1,5,有,無,9380000,59928,,0.0,0,,RPOOMLLLNHJGFDP88CB,寬庭馬光綻一期,A棟20號,
麥寮鄉,房地(土地+建物)+車位,雲林縣麥寮鄉橋頭村橋頭門牌尚未申請,33.42,,鄉村區,乙種建築用地,1130518,土地3建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,146.53,3,2,2,有,無,8800000,67238,坡道平面,29.78,950000,,RPPNMLLLNHJGFFP09CB,一品苑,B棟2號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市鎮北路320巷,108.53,住,,,1130514,土地7建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,168.84,5,2,5,有,無,14600000,86472,一樓平面,13.75,0,1、總價含設計變更後之價款，2、車位未單獨計價，且已含入交易總價,RPPNMLLLNHJGFAP68DB,菁采,D1棟0號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市鎮北路320巷,104.59,住,,,1130511,土地7建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,168.84,4,2,5,有,無,14880000,88131,一樓平面,13.75,0,1、總價含設計變更後之價款，2、車位未單獨計價，且已含入交易總價,RPQNMLLLNHJGFAP78DB,菁采,A6棟0號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市鎮北路320巷,106.59,住,,,1130511,土地7建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,193.79,4,2,5,有,無,14600000,75339,一樓平面,13.75,0,車位未單獨計價，且已含入交易總價,RPTNMLLLNHJGFAP09DB,菁采,B1棟0號,
崙背鄉,房地(土地+建物),雲林縣崙背鄉南昌路,100.44,住,,,1130513,土地3建物1車位0,全,3,透天厝,住家用,見其他登記事項,,161.84,4,1,3,有,無,9500000,58700,,0.0,0,,RPPNMLLLNHJGFCP88DB,閤豐大吉利,A棟18號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮興隆街,94.02,住,,,1130517,土地1建物1車位0,全,4,透天厝,住家用,見其他登記事項,,198.34,5,2,5,有,無,19750000,99576,,0.0,0,,RPQNMLLLNHJGFDP09DB,理想家,A棟13號,
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉大美路,20.9,,一般農業區,甲種建築用地,1130520,土地2建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.86,2,2,2,有,無,5200000,65114,,0.0,0,,RPQNMLNLNHJGFAP88CB,寓見幸福,4A號,
莿桐鄉,房地(土地+建物)+車位,雲林縣莿桐鄉大美路,41.8,,一般農業區,甲種建築用地,1130518,土地2建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.76,2,2,2,有,無,5750000,57066,一樓平面,20.9,0,,RPRNMLNLNHJGFAP98CB,寓見幸福,2B號,
西螺鎮,房地(土地+建物),雲林縣西螺鎮東南路,139.47,住,,,1130523,土地9建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,238.27,4,3,5,有,無,15300000,64213,,0.0,0,,RPPNMLNLNHJGFCP98CB,宇荃寶家,C棟16號,
土庫鎮,房地(土地+建物)+車位,雲林縣土庫鎮復興路,43.02,住,,,1130519,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.37,3,2,2,有,無,6850000,55087,一樓平面,21.36,900000,,RPQNMLNLNHJGFDP56CB,百富5期,5FB3棟0號,
土庫鎮,房地(土地+建物)+車位,雲林縣土庫鎮復興路,43.02,住,,,1130517,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.37,3,2,2,有,無,7010000,56569,一樓平面,21.36,900000,,RPRNMLNLNHJGFDP66CB,百富5期,3FC3棟0號,
土庫鎮,房地(土地+建物)+車位,雲林縣土庫鎮復興路,43.02,住,,,1130517,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.37,3,2,2,有,無,7200000,58328,一樓平面,21.36,900000,,RPSNMLNLNHJGFDP76CB,百富5期,5FC6棟0號,
土庫鎮,房地(土地+建物),雲林縣土庫鎮復興路,28.56,住,,,1130516,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.0,2,2,1,有,無,4110000,57083,,0.0,0,,RPTNMLNLNHJGFDP86CB,百富5期,6FD2棟0號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮光復路30巷,28.17,住,,,1130511,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.69,2,1,2,有,無,9450000,82525,坡道平面,13.75,1450000,,RPSNMLOLNHJGFDP86CB,聖德淳風六期,E2號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興南路,119.87,住,,,1130520,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,179.61,4,2,5,有,無,16800000,93536,,0.0,0,,RPQNMLPLNHJGFDP76CB,大於NO.6,B棟7號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮忠孝路,10.97,商,,,1130511,土地11建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,110.89,2,2,1,有,無,9090000,100908,坡道平面,32.7,1200000,,RPSNMLPLNHJGFDP96CB,鎧將雲鼎,A棟14F-E號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮忠孝路,10.97,商,,,1130518,土地11建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,110.89,2,2,1,有,無,9050000,100396,坡道平面,32.7,1200000,,RPTNMLPLNHJGFDP07CB,鎧將雲鼎,A棟15F-E號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮清雲路，清雲五路,99.17,住,,,1130524,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,180.51,4,3,5,有,無,20700000,114675,一樓平面,0.0,0,,RPPNMLPLNHJGFDP76DB,清雲永聖2,A棟12號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,11.74,商,,,1130523,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.43,2,1,2,有,無,9260000,94614,坡道機械,17.9,600000,,RPPNMLQLNHJGFAP09CB,品風華,8FA棟6號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,11.74,商,,,1130525,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.43,2,1,2,有,無,9400000,96143,坡道機械,17.9,600000,,RPQNMLQLNHJGFAP56CB,品風華,9FA棟6號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,11.74,商,,,1130526,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.7,2,1,2,有,無,9560000,97603,坡道機械,17.9,600000,,RPRNMLQLNHJGFAP66CB,品風華,10FE棟6號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮吉安街75號對面,17.9,住,,,1130518,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.92,2,2,1,有,無,7800000,101404,,0.0,0,,RPPNMLQLNHJGFDP76CB,晶硯麗禧,A2-8F號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮高南段60地號 虎興西七街與永興南二路口,13.1,住,,,1130522,土地1建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,49.68,1,1,1,有,無,4030000,81119,,0.0,0,,RPQNMLQLNHJGFDP86CB,沐晴3期,511號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮忠孝路,11.05,商,,,1130526,土地11建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,78.78,2,2,1,有,無,7800000,99010,,0.0,0,,RPPNMLRLNHJGFDP86CB,鎧將雲鼎,B棟13F-F號,
斗六市,房地(土地+建物),雲林縣斗六市斗六一路、棒球三街口,25.27,住,,,1130520,土地1建物1車位0,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.42,2,1,2,有,無,8550000,85999,,0.0,0,,RPPNMLSLNHJGFAP66CB,聖德淳風三期,A3號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市正義街與正義一街街口,23.52,住,,,1130520,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.75,2,2,1,有,無,12370000,100809,坡道平面,24.93,1400000,,RPQNMLSLNHJGFAP76CB,勝麗進行曲-禧悅區,A棟2號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市內環路自治街口,33.09,住,,,1130524,土地1建物1車位1,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,94.6,2,1,2,有,無,10150000,100114,一樓平面,7.2,1400000,,RPRNMLSLNHJGFAP86CB,聖德淳風七期,A3號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮學府西路,13.36,商,,,1130519,土地2建物1車位1,五層,15,辦公商業大樓,住商用,鋼筋混凝土造,,102.12,0,0,0,無,無,8580000,90630,坡道平面,24.0,1500000,,RPPNMLSLNHJGFDP96CB,高鐵安縵,B棟2號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮學府西路,13.77,商,,,1130519,土地2建物1車位1,十層,15,辦公商業大樓,住商用,鋼筋混凝土造,,105.04,0,0,0,無,無,8850000,90696,坡道平面,24.0,1500000,,RPQNMLSLNHJGFDP07CB,高鐵安縵,A棟5號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮虎興西八路,27.68,住,,,1130515,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.69,2,1,2,有,無,8590000,73912,坡道平面,34.0,1000000,,RPTNMLSLNHJGFDP37CB,仰雲安縵,B棟9號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮虎興西八路,27.47,住,,,1130517,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.9,3,1,2,有,無,8390000,72522,坡道平面,34.0,1000000,,RPUNMLSLNHJGFDP47CB,仰雲安縵,B棟7號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮光復路30巷,28.17,住,,,1130515,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.69,2,1,2,有,無,8860000,77986,一樓平面,13.75,1300000,,RPWNMLSLNHJGFDP67CB,聖德淳風六期,E3號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮光復路30巷,28.17,住,,,1130524,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.93,2,1,2,有,無,9200000,80464,一樓平面,13.75,1300000,,RPXNMLSLNHJGFDP77CB,聖德淳風六期,D2號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,11.74,商,,,1130524,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.7,2,1,2,有,無,9400000,95861,坡道機械,17.9,600000,,RPPNMLTLNHJGFAP76CB,品風華,9FE棟6號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,16.39,商,,,1130523,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.91,3,1,2,有,無,12830000,89220,坡道平面,35.8,1400000,,RPQNMLTLNHJGFAP86CB,品風華,2FE棟3號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,11.74,商,,,1130523,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.7,2,1,2,有,無,9260000,94336,坡道機械,17.9,600000,,RPRNMLTLNHJGFAP96CB,品風華,8FE棟6號,
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮社東段0792-0000,18.51,商,,,1130524,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.92,2,2,2,有,無,6350000,66344,坡道平面,24.28,1000000,,RPPNMLTLNHJGFCP96CB,築夢成真,5樓B棟2號,
西螺鎮,房地(土地+建物),雲林縣西螺鎮自強街,49.42,住,,,1130518,土地4建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.71,3,2,2,有,無,7870000,56737,,0.0,0,,RPQNMLTLNHJGFCP07CB,築夢十五期,B2棟B218號,
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮自強街,51.69,住,,,1130526,土地4建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,145.78,3,2,2,有,無,8380000,59299,一樓平面,19.64,900000,,RPSNMLTLNHJGFCP27CB,築夢十五期,B1棟B111號,
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮自強街,49.42,住,,,1130524,土地4建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,140.88,3,2,2,有,無,8070000,59139,一樓平面,19.64,900000,,RPTNMLTLNHJGFCP37CB,築夢十五期,B2棟B209號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市文生路,30.47,,鄉村區,乙種建築用地,1130526,土地1建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.06,3,2,2,有,無,7630000,67811,坡道機械,16.85,360000,,RPPNMLKMNHJGFAP58CB,聚星,V3棟2樓棟0號,
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮光華路與光和路交叉口,53.77,住,,,1130511,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.22,3,2,1,有,無,9150000,69842,一樓平面,23.38,850000,,RPQNMLKMNHJGFBP78CB,斗南首璽,C棟4F號,
土庫鎮,房地(土地+建物),雲林縣土庫鎮復興路,28.56,住,,,1130523,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.0,2,2,1,有,無,4200000,58333,,0.0,0,,RPPNMLKMNHJGFDP88CB,百富5期,2FD2棟0號,
土庫鎮,房地(土地+建物)+車位,雲林縣土庫鎮復興路,43.02,住,,,1130525,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.37,3,2,2,有,無,7170000,58050,一樓平面,21.36,900000,,RPQNMLKMNHJGFDP98CB,百富5期,5FB1棟0號,
土庫鎮,房地(土地+建物)+車位,雲林縣土庫鎮復興路,28.56,住,,,1130523,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.15,2,2,1,有,無,5010000,57083,一樓平面,20.15,900000,,RPRNMLKMNHJGFDP09CB,百富5期,6FB2棟0號,
