編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOJOHJGFAW86CB,寧湖二劃測段,39.18,都市：其他:自然村專用區,10000,499,持分移轉,03300000
RPPNMLOJOHJGFAW86CB,寧湖二劃測段,4.36,都市：農,10000,499,持分移轉,03300001
RPSNMLTLNHJGFAW87DB,新頭段,56.35,都市：其他:自然村專用區,100000,10104,持分移轉,07760000
RPQNMLLKOHJGFAW76CB,湖尾村測段,30.19,都市：其他:自然村專用區,100000,7072,持分移轉,03550001
RPQNMLLKOHJGFAW76CB,湖尾村測段,8.97,都市：其他:自然村專用區,100000,7072,持分移轉,03610000
RPRNMLPLOHJGFAW37CB,新頭段,56.35,都市：其他:自然村專用區,100000,10104,持分移轉,07760000
RPPNMLNJPHJGFAW86CB,湖尾村測段,27.16,都市：其他:自然村專用區,100000,6363,持分移轉,03550001
RPPNMLNJPHJGFAW86CB,湖尾村測段,8.07,都市：其他:自然村專用區,100000,6363,持分移轉,03610000
RPPNMLKMOHJGFAW76CB,湖尾村測段,28.25,都市：其他:自然村專用區,100000,6618,持分移轉,03550001
RPPNMLKMOHJGFAW76CB,湖尾村測段,8.39,都市：其他:自然村專用區,100000,6618,持分移轉,03610000
RPRNMLNJOHJGFAW96CB,湖尾村測段,30.19,都市：其他:自然村專用區,100000,7072,持分移轉,03550001
RPRNMLNJOHJGFAW96CB,湖尾村測段,8.97,都市：其他:自然村專用區,100000,7072,持分移轉,03610000
RPPNMLPJOHJGFAW96CB,大橋湖峰段,7.78,都市：住,1000000,4932,持分移轉,00830000
RPPNMLSJPHJGFAW37CB,大橋湖峰段,7.78,都市：住,1000000,4932,持分移轉,00830000
RPPNMLLMNHJGFAW76CB,大橋湖峰段,18.00,都市：住,1000000,11408,持分移轉,00830000
RPQNMLSJPHJGFAW47CB,大橋湖峰段,9.04,都市：住,1000000,5727,持分移轉,00830000
RPPNMLLLNHJGFAW66CB,盤山村測段,28.06,都市：其他:自然村專用區,100000,4137,持分移轉,01880003
RPPNMLLLNHJGFAW66CB,盤山村測段,5.68,都市：其他:自然村專用區,100000,4137,持分移轉,01880004
RPPNMLLLNHJGFAW66CB,盤山村測段,2.96,都市：其他:自然村專用區,100000,4137,持分移轉,01900003
RPQNMLPLOHJGFAW27CB,新頭段,57.42,都市：其他:自然村專用區,100000,10296,持分移轉,07760000
RPPNMLPKPHJGFAW17CB,湖尾村測段,27.16,都市：其他:自然村專用區,100000,6363,持分移轉,03550001
RPPNMLPKPHJGFAW17CB,湖尾村測段,8.07,都市：其他:自然村專用區,100000,6363,持分移轉,03610000
RPPNMLQKPHJGFAW27CB,寧湖二劃測段,39.18,都市：其他:自然村專用區,10000,499,持分移轉,03300000
RPPNMLQKPHJGFAW27CB,寧湖二劃測段,4.36,都市：農,10000,499,持分移轉,03300001
RPQNMLPJOHJGFAW07CB,寧湖二劃測段,50.00,都市：其他:自然村專用區,20,1,持分移轉,12170000
RPPNMLTKOHJGFAW47CB,寧湖二劃測段,39.18,都市：其他:自然村專用區,10000,499,持分移轉,03300000
RPPNMLTKOHJGFAW47CB,寧湖二劃測段,4.36,都市：農,10000,499,持分移轉,03300001
RPQNMLNJPHJGFAW96CB,湖尾村測段,28.25,都市：其他:自然村專用區,100000,6618,持分移轉,03550001
RPQNMLNJPHJGFAW96CB,湖尾村測段,8.39,都市：其他:自然村專用區,100000,6618,持分移轉,03610000
RPPNMLNLPHJGFAW17DB,羅劃測段,56.14,都市：其他:自然村專用區,10000,562,持分移轉,02000000
RPPNMLNLPHJGFAW17DB,羅劃測段,51.28,都市：其他:自然村專用區,10000,562,持分移轉,02010000
RPPNMLLJPHJGFAW66CB,大橋湖峰段,20.15,都市：住,1000000,12766,持分移轉,00830000
RPQNMLNJOHJGFAW86CB,大橋湖峰段,5.30,都市：住,1000000,3357,持分移轉,00830000
RPQNMLLMPHJGFAW07CB,大橋湖峰段,7.78,都市：住,1000000,4932,持分移轉,00830000
RPSNMLLMPHJGFAW27CB,寧湖二劃測段,30.86,都市：其他:自然村專用區,10000,393,持分移轉,03300000
RPSNMLLMPHJGFAW27CB,寧湖二劃測段,3.43,都市：農,10000,393,持分移轉,03300001
RPQNMLOKQHJGFAW27CB,寧湖一劃段,46.95,都市：其他:自然村專用區,10000,895,持分移轉,05230000
RPRNMLLMPHJGFAW17CB,大橋湖峰段,9.04,都市：住,1000000,5727,持分移轉,00830000
RPTNMLLMPHJGFAW37CB,湖尾村測段,27.16,都市：其他:自然村專用區,100000,6363,持分移轉,03550001
RPTNMLLMPHJGFAW37CB,湖尾村測段,8.07,都市：其他:自然村專用區,100000,6363,持分移轉,03610000
RPPNMLPJQHJGFAW17CB,寧湖二劃測段,30.86,都市：其他:自然村專用區,10000,393,持分移轉,03300000
RPPNMLPJQHJGFAW17CB,寧湖二劃測段,3.43,都市：農,10000,393,持分移轉,03300001
RPRNMLOKQHJGFAW37CB,寧湖一劃段,46.95,都市：其他:自然村專用區,10000,895,持分移轉,05230000
RPPNMLLKOHJGFAW66CB,盤山村測段,23.45,都市：其他:自然村專用區,100000,3457,持分移轉,01880003
RPPNMLLKOHJGFAW66CB,盤山村測段,4.75,都市：其他:自然村專用區,100000,3457,持分移轉,01880004
RPPNMLLKOHJGFAW66CB,盤山村測段,2.47,都市：其他:自然村專用區,100000,3457,持分移轉,01900003
