編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQJOHJGFCQ76CC,埤子頭段埤子小段,1752.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,03860000
RPPNMLKLNHJGFDQ98CC,水東段,100.90,都市：住,,,,04470002
RPWNMLSLOHJGFDQ97CC,柳新段,68.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07630000
RPXNMLSLOHJGFDQ08CC,柳新段,68.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07630000
RPPNMLOJOHJGFCQ56CC,東湖段,48.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,17150000
RPPNMLOJOHJGFCQ56CC,東湖段,8.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,17220000
RPPNMLOJOHJGFCQ56CC,東湖段,6.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,17240000
RPUNMLLJPHJGFDQ96CC,過溝段過溝小段,85.00,都市：住,,,,10990003
RPPNMLMJPHJGFDQ56CC,嘉保段,15.00,都市：住,,,,00670006
RPTNMLOJOHJGFBQ86CC,灣內段灣內小段,2590.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,12240000
RPSNMLOJOHJGFBQ76CC,灣內段灣內小段,1063.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,12270000
RPQNMLOJOHJGFBQ56CC,灣內段灣內小段,3957.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,12230000
RPVNMLOJOHJGFBQ07CC,灣內段灣內小段,1065.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,12280000
RPWNMLOJOHJGFBQ17CC,灣內段灣內小段,3129.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,12260000
RPUNMLOJOHJGFBQ96CC,灣內段灣內小段,1023.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,12290000
RPPNMLLKOHJGFBQ88CC,蘇厝段,110.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06710003
RPQNMLNLNHJGFBQ56CC,頂東石段黎明小段,191.63,非都市：特定專用區 ; 非都市編定：甲種建築用地,,,,01250005
RPQNMLNLNHJGFBQ56CC,頂東石段黎明小段,191.63,非都市：特定專用區 ; 非都市編定：甲種建築用地,,,,01250006
RPPNMLNKPHJGFDQ76CC,太頂珠段,29.30,都市：住,,,,00240004
RPTNMLRKPHJGFDQ57CC,安仁段,5.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00800000
RPPNMLKLPHJGFCQ09CC,頭橋段工業小段,6093.00,都市：工,,,,00520000
RPRNMLOJOHJGFBQ66CC,灣內段灣內小段,2590.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,12250000
RPQNMLRKPHJGFBQ07CC,灣內段灣內小段,1416.50,非都市：特定農業區 ; 非都市編定：農牧用地,,,,11970000
RPPNMLRKPHJGFBQ96CC,灣內段灣內小段,1150.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,11990000
RPSNMLRKPHJGFBQ27CC,灣內段灣內小段,2035.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,11960000
RPRNMLRKPHJGFBQ17CC,灣內段灣內小段,1079.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,11980000
RPPNMLTKQHJGFCQ37CC,大工一段,150.26,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01970045
RPPNMLTJQHJGFCQ27CC,大工一段,16147.56,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00110000
RPPNMLQJQHJGFCQ96CC,大工一段,2603.10,非都市：工業區 ; 非都市編定：丁種建築用地,,,,02280000
RPPNMLNJQHJGFDQ76CC,安仁段,9.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01010000
