編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLPKNHJGFDC08CC,新武段,62.56,都市：住,,,,00140000
RPSNMLRKNHJGFDC48CC,武訓段,41.93,都市：工,,,,00820000
RPPNMLLMNHJGFDC77CC,五堵段五堵北小段,31.46,都市：住,,,,11880000
RPPOMLQJOHJGFDC18CC,仁德段,36.00,都市：住,,,,05740001
RPTNMLRJOHJGFDC58CC,觀音段,221.00,都市：住,,,,00920000
RPPNMLPKOHJGFDC08CC,調和段,35.96,都市：住,,,,14150000
RPPNMLPKOHJGFDC08CC,調和段,.01,都市：其他:保護區,,,,14150001
RPPNMLPKOHJGFDC08CC,調和段,.01,都市：住,,,,14150002
RPWNMLTKOHJGFDC56CC,調和段,32.65,都市：住,,,,11250000
RPRNMLMJPHJGFDC97CC,西定段,94.00,都市：商,,,,06850000
RPXNMLTJPHJGFDC66CC,基瑞段,23.56,都市：住,,,,02210000
RPTNMLLKPHJGFDC18CC,德安段,24.14,都市：商,,,,10900000
RPPNMLQLPHJGFDC48DC,代天府段,17.92,都市：住,,,,08370000
RPPNMLQLPHJGFDC48DC,代天府段,.11,都市：住,,,,08370001
RPPNMLQLPHJGFDC48DC,代天府段,.14,都市：住,,,,08370002
RPPNMLQLPHJGFDC48DC,代天府段,.03,都市：住,,,,08370003
RPPNMLQLPHJGFDC48DC,代天府段,.00,都市：住,,,,08370004
RPPNMLQLPHJGFDC48DC,代天府段,.07,都市：住,,,,08370005
RPPNMLQLPHJGFDC48DC,代天府段,.04,都市：住,,,,08370006
RPTQMLLJQHJGFDC48CC,舊站段,70.34,都市：商,,,,00020000
RPSNMLNJQHJGFDC28CC,武嶺段,25.98,都市：住,,,,02010000
RPSNMLNJQHJGFDC28CC,武嶺段,3.68,都市：其他:道路用地,,,,02010001
RPRQMLLJQHJGFDC28CC,湖海段,49.51,都市：商,,,,08530000
RPRQMLLJQHJGFDC28CC,湖海段,52.71,都市：商,,,,08530000
RPPNMLOJQHJGFDC08CC,湖海段,49.51,都市：商,,,,08530000
RPPNMLOJQHJGFDC08CC,湖海段,52.71,都市：商,,,,08530000
RPPNMLRJQHJGFDC38CC,源遠段,11.31,都市：住,,,,11280002
RPOOMLSJQHJGFDC48CC,深澳段,7.00,都市：住,,,,10170000
RPRNMLNKQHJGFDC28CC,台五線段,156.28,都市：工,,,,03670000
