編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLQKKHJGFLE56CB,開封段,26.13,都市：住,10000,196,持分移轉,02440000
RPSNMLQKKHJGFLE98CB,開封段,25.73,都市：住,10000,193,持分移轉,02440000
RPPNMLRKKHJGFLE78CB,田中央段,19.66,都市：商,100000,525,持分移轉,00020000
RPPNMLQKKHJGFLE68CB,保生段,33.17,都市：住,10000,167,持分移轉,01230000
RPRNMLQKKHJGFCE08DB,孔宅段,80.00,都市：住,1,1,全筆移轉,07810024
RPQNMLRKKHJGFLE88CB,田中央段,17.00,都市：商,100000,454,持分移轉,00020000
RPVNMLQKKHJGFLE66CB,開封段,26.13,都市：住,10000,196,持分移轉,02440000
RPQNMLQKKHJGFLE78CB,開封段,30.67,都市：住,10000,230,持分移轉,02440000
RPQNMLQKKHJGFCE97DB,孔宅段,80.00,都市：住,1,1,全筆移轉,07810023
RPTNMLQKKHJGFLE09CB,開封段,26.00,都市：住,10000,195,持分移轉,02440000
RPRNMLTKKHJGFCE28CB,松金段,14.13,都市：商,100000,196,持分移轉,00180000
RPQNMLTKKHJGFCE18CB,松金段,11.03,都市：商,100000,153,持分移轉,00180000
RPPNMLTKKHJGFCE08CB,松金段,16.29,都市：商,100000,226,持分移轉,00180000
RPRNMLSKKHJGFEE38CB,援中段一小段,6.59,都市：住,10000,17,持分移轉,00960000
RPSNMLSKKHJGFEE48CB,援中段一小段,6.59,都市：住,10000,17,持分移轉,00960000
RPSNMLSKKHJGFEE48CB,援中段一小段,3.84,都市：商,10000,17,持分移轉,01000000
RPRNMLSKKHJGFEE38CB,援中段一小段,3.84,都市：商,10000,17,持分移轉,01000000
RPQNMLSKKHJGFEE28CB,援中段一小段,8.52,都市：住,10000,22,持分移轉,00960000
RPQNMLSKKHJGFEE28CB,援中段一小段,4.96,都市：商,10000,22,持分移轉,01000000
RPQNMLTKKHJGFIE78CB,八德段,11.09,都市：住,100000,156,持分移轉,12520000
RPQNMLTKKHJGFIE78CB,八德段,1.18,都市：住,100000,156,持分移轉,12520001
RPPNMLTKKHJGFIE68CB,八德段,15.71,都市：住,100000,221,持分移轉,12520000
RPPNMLTKKHJGFIE68CB,八德段,1.67,都市：住,100000,221,持分移轉,12520001
RPRNMLTKKHJGFIE88CB,八德段,11.09,都市：住,100000,156,持分移轉,12520000
RPRNMLTKKHJGFIE88CB,八德段,1.18,都市：住,100000,156,持分移轉,12520001
RPSNMLTKKHJGFIE98CB,八德段,12.65,都市：住,100000,178,持分移轉,12520000
RPSNMLTKKHJGFIE98CB,八德段,1.35,都市：住,100000,178,持分移轉,12520001
RPPNMLTKKHJGFLE98CB,田中央段,15.13,都市：商,100000,404,持分移轉,00020000
RPTNMLTKKHJGFIE09CB,八德段,12.65,都市：住,100000,178,持分移轉,12520000
RPTNMLTKKHJGFIE09CB,八德段,1.35,都市：住,100000,178,持分移轉,12520001
RPUNMLTKKHJGFIE56CB,八德段,13.15,都市：住,100000,185,持分移轉,12520000
RPUNMLTKKHJGFIE56CB,八德段,1.40,都市：住,100000,185,持分移轉,12520001
RPRNMLTKKHJGFLE56CB,中芸段,52.00,都市：住,1,1,全筆移轉,12930010
RPRNMLTKKHJGFLE56CB,中芸段,16.25,都市：住,200,19,持分移轉,12930008
RPPNMLRKKHJGFDE97CB,大港段,24.01,都市：住,100000,337,持分移轉,33970000
RPPNMLNKKHJGFDE57CB,灣內段,6.50,都市：住,100000,97,持分移轉,07630001
RPQNMLRKKHJGFDE08CB,大港段,19.80,都市：住,100000,278,持分移轉,33970000
RPTNMLPKKHJGFDE18CB,灣內段,9.72,都市：住,100000,145,持分移轉,07630001
RPXNMLQKKHJGFDE68CB,灣內段,9.92,都市：住,100000,148,持分移轉,07630001
RPQOMLSKKHJGFDE28CB,灣內段,6.23,都市：住,100000,93,持分移轉,07630001
RPWNMLPKKHJGFDE48CB,灣內段,5.23,都市：住,100000,78,持分移轉,07630001
RPUNMLTKKHJGFDE68CB,義民段,4.77,都市：商,100000,131,持分移轉,12050000
RPUNMLTKKHJGFDE68CB,義民段,2.15,都市：住,100000,131,持分移轉,12040000
RPSNMLSKKHJGFDE38CB,灣內段,6.90,都市：住,100000,103,持分移轉,07630001
RPTNMLTKKHJGFDE58CB,義民段,4.77,都市：商,100000,131,持分移轉,12050000
RPTNMLTKKHJGFDE58CB,義民段,2.15,都市：住,100000,131,持分移轉,12040000
RPPNMLLKKHJGFDE37CB,灣內段,7.57,都市：住,100000,113,持分移轉,07630001
RPWNMLKLKHJGFDE08CB,凱歌段,5.31,都市：其他:市場用地,1000000,1991,持分移轉,07750000
RPVNMLKLKHJGFDE97CB,灣內段,5.43,都市：住,100000,81,持分移轉,07630001
RPQNMLKLKHJGFAE17CB,大智段,.10,都市：商,100000,95,持分移轉,07280000
RPQNMLKLKHJGFAE17CB,大智段,.13,都市：商,100000,95,持分移轉,07290000
RPQNMLKLKHJGFAE17CB,大智段,.00,都市：商,100000,95,持分移轉,07300000
RPQNMLKLKHJGFAE17CB,大智段,.04,都市：商,100000,95,持分移轉,07320000
RPQNMLKLKHJGFAE17CB,大智段,.04,都市：商,100000,95,持分移轉,07330000
RPQNMLKLKHJGFAE17CB,大智段,.08,都市：商,100000,95,持分移轉,07340000
RPQNMLKLKHJGFAE17CB,大智段,.03,都市：商,100000,95,持分移轉,07350000
RPQNMLKLKHJGFAE17CB,大智段,.10,都市：商,100000,95,持分移轉,07370000
RPQNMLKLKHJGFAE17CB,大智段,.09,都市：商,100000,95,持分移轉,07380000
RPQNMLKLKHJGFAE17CB,大智段,.06,都市：商,100000,95,持分移轉,07420000
RPQNMLKLKHJGFAE17CB,大智段,.05,都市：商,100000,95,持分移轉,07430000
RPQNMLKLKHJGFAE17CB,大智段,.06,都市：商,100000,95,持分移轉,07440000
RPQNMLKLKHJGFAE17CB,大智段,.05,都市：商,100000,95,持分移轉,07450000
RPQNMLKLKHJGFAE17CB,大智段,.01,都市：商,100000,95,持分移轉,07460000
RPQNMLKLKHJGFAE17CB,大智段,.01,都市：商,100000,95,持分移轉,07470000
RPQNMLKLKHJGFAE17CB,大智段,.04,都市：商,100000,95,持分移轉,07480000
RPQNMLKLKHJGFAE17CB,大智段,.09,都市：商,100000,95,持分移轉,07490000
RPQNMLKLKHJGFAE17CB,大智段,.02,都市：商,100000,95,持分移轉,07500000
RPPNMLKLKHJGFAE07CB,大智段,.10,都市：商,100000,95,持分移轉,07280000
RPQNMLKLKHJGFAE17CB,大智段,.01,都市：商,100000,95,持分移轉,07510000
RPQNMLKLKHJGFAE17CB,大智段,.05,都市：商,100000,95,持分移轉,07520000
RPPNMLKLKHJGFAE07CB,大智段,.13,都市：商,100000,95,持分移轉,07290000
RPQNMLKLKHJGFAE17CB,大智段,.33,都市：商,100000,95,持分移轉,07530000
RPPNMLKLKHJGFAE07CB,大智段,.00,都市：商,100000,95,持分移轉,07300000
RPQNMLKLKHJGFAE17CB,大智段,.17,都市：商,100000,95,持分移轉,07540000
RPPNMLKLKHJGFAE07CB,大智段,.04,都市：商,100000,95,持分移轉,07320000
RPQNMLKLKHJGFAE17CB,大智段,1.29,都市：商,100000,95,持分移轉,07550000
RPPNMLKLKHJGFAE07CB,大智段,.04,都市：商,100000,95,持分移轉,07330000
RPQNMLKLKHJGFAE17CB,大智段,.08,都市：商,100000,95,持分移轉,07560000
RPPNMLKLKHJGFAE07CB,大智段,.08,都市：商,100000,95,持分移轉,07340000
RPQNMLKLKHJGFAE17CB,大智段,.07,都市：商,100000,95,持分移轉,07570000
RPPNMLKLKHJGFAE07CB,大智段,.03,都市：商,100000,95,持分移轉,07350000
RPQNMLKLKHJGFAE17CB,大智段,.06,都市：商,100000,95,持分移轉,07580000
RPQNMLKLKHJGFAE17CB,大智段,.06,都市：商,100000,95,持分移轉,07590000
RPPNMLKLKHJGFAE07CB,大智段,.10,都市：商,100000,95,持分移轉,07370000
RPQNMLKLKHJGFAE17CB,大智段,.06,都市：商,100000,95,持分移轉,07600000
RPPNMLKLKHJGFAE07CB,大智段,.09,都市：商,100000,95,持分移轉,07380000
RPQNMLKLKHJGFAE17CB,大智段,.02,都市：商,100000,95,持分移轉,07660000
RPPNMLKLKHJGFAE07CB,大智段,.06,都市：商,100000,95,持分移轉,07420000
RPQNMLKLKHJGFAE17CB,大智段,.02,都市：商,100000,95,持分移轉,07680000
RPPNMLKLKHJGFAE07CB,大智段,.05,都市：商,100000,95,持分移轉,07430000
RPQNMLKLKHJGFAE17CB,大智段,.02,都市：商,100000,95,持分移轉,07690000
RPPNMLKLKHJGFAE07CB,大智段,.06,都市：商,100000,95,持分移轉,07440000
RPQNMLKLKHJGFAE17CB,大智段,.02,都市：商,100000,95,持分移轉,07710000
