編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUNMLOKQHJGFAV67CC,29,51.54,人行．店舖．辦公廳,鋼筋混凝土造,84年7月21日,五層,,
RPWNMLSLQHJGFAV38CC,18,32.13,住家用,鋼筋混凝土造,95年10月17日,四層,,
RPPNMLOKQHJGFAV17CC,18,32.13,住家用,鋼筋混凝土造,95年10月17日,四層,,
RPPNMLTLQHJGFAV77CC,18,32.13,住家用,鋼筋混凝土造,95年10月17日,四層,,
RPPNMLPKQHJGFAV27CC,28,73.40,集合住宅,鋼筋混凝土造,85年3月26日,八層,,
RPPNMLPKQHJGFAV27CC,28,14.57,電梯．樓梯．通道．水箱．機械房．公共使用,鋼筋混凝土造,85年3月26日,八層,,
RPPNMLPKQHJGFAV27CC,28,22.26,防空避難室．停車空間,鋼筋混凝土造,85年3月26日,八層,,
RPVNMLSLQHJGFAV28CC,18,32.13,住家用,鋼筋混凝土造,95年10月17日,四層,,
RPPNMLRJIIJGFAV66CC,,25.49,住家用,鐵筋水泥磚,,三層,,
RPPNMLNJRHJGFAV07CC,43,24.96,住家用,鋼筋混凝土造,70年10月21日,七層,,
RPPNMLPKIIJGFAV56CC,59,15.38,住商用,鐵筋混凝土磚造,54年5月12日,三層,,
RPQNMLPKIIJGFAV66CC,59,15.38,住商用,鐵筋混凝土磚造,54年5月12日,三層,,
RPQNMLNJRHJGFAV17CC,30,79.44,集合住宅,鋼筋混凝土造,83年5月17日,六層,,
RPQNMLNJRHJGFAV17CC,30,6.64,門廳、警衛室（公共設施）,鋼筋混凝土造,83年5月17日,六層,,
RPQNMLNJRHJGFAV17CC,30,15.52,集合住宅（共同使用）,鋼筋混凝土造,83年5月17日,六層,,
RPQNMLNJRHJGFAV17CC,30,8.04,樓梯間（共同使用）,鋼筋混凝土造,83年5月17日,六層,,
RPRNMLTJIIJGFAV07CC,49,69.05,住家用,鐵筋水泥磚,64年4月24日,三層,,
RPTNMLPKIIJGFAV96CC,,124.83,住家用,鐵筋水泥磚造,,二層,,
RPPNMLOKIIJGFAV09CC,51,95.56,住家用,鐵筋水泥磚,62年8月10日,二層,,
RPQNMLMLIIJGFAV09CC,43,100.58,住家用,加強磚造,70年12月26日,二層,,
RPPNMLMLIIJGFAV98CC,44,33.38,住家用,加強磚造,69年10月6日,二層,,
RPRNMLNJRHJGFAV27CC,46,120.20,住家用,鐵筋水泥磚,67年4月3日,二層,,
RPQNMLTKRHJGFAV87CC,50,6.65,住商用,鐵筋水泥磚,63年11月8日,四層,,
RPQNMLTKRHJGFAV87CC,44,17.50,商業用,鋼筋混凝土造,69年11月1日,四層,,
RPPNMLPJJIJGFAV56CC,56,66.16,住家用,鐵筋水泥磚,58年2月1日,二層,,
RPPNMLOJJIJGFAV09CC,35,32.13,住家用,加強磚造,78年12月26日,二層,,
RPQNMLQJJIJGFAV76CC,33,147.96,住家用,鋼筋混凝土造,80年5月1日,三層,,
RPPNMLLJJIJGFAV78CC,29,21.36,集合住宅,鋼筋混凝土結構造,84年10月4日,十二層,,
RPPNMLLJJIJGFAV78CC,29,13.14,避難室．樓梯間．走道（共同使用部份）,鋼筋混凝土結構造,84年10月4日,十二層,,
RPPNMLQJJIJGFAV66CC,2,19.80,Ｈ２集合住宅,ＲＣ造,111年7月28日,五層,,
RPPNMLNLIIJGFAV09CC,10,261.87,住家用,ＲＣ造,104年4月8日,三層,,
RPPNMLQJJIJGFAV66CC,2,8.66,停車空間、機械室、樓梯間、梯廳,ＲＣ造,111年7月28日,五層,,
RPPNMLKLRHJGFAV96CC,6,30.36,集合住宅,ＲＣ造,107年9月3日,五層,,
RPQNMLKLRHJGFAV07CC,38,60.76,住家用,鋼筋混凝土造,75年7月9日,三層,,
RPPNMLKLRHJGFAV96CC,6,14.46,騎樓、集合住宅、停車空間、樓梯間、機械室、水箱,ＲＣ造,107年9月3日,五層,,
RPQNMLOJIIJGFAV09CC,10,25.49,住宅、樓梯間,ＲＣ造,103年9月22日,三層,,
RPQNMLLJIIJGFAV78CC,10,25.49,住宅、樓梯間,ＲＣ造,103年9月22日,三層,,
RPOOMLSLQHJGFAV67CC,18,32.13,住家用,鋼筋混凝土造,95年10月17日,四層,,
RPPNMLPJIIJGFAV09CC,59,30.76,住商用,鐵筋混凝土磚造,54年5月12日,三層,,
RPSNMLOKJIJGFAV86CC,6,32.67,集合住宅,ＲＣ造,107年9月3日,五層,,
RPSNMLOKJIJGFAV86CC,6,15.50,騎樓、集合住宅、停車空間、樓梯間、機械室、水箱,ＲＣ造,107年9月3日,五層,,
RPQNMLPKJIJGFAV76CC,18,158.66,店舖、住宅、樓梯間,ＲＣ造,95年9月25日,三層,,
