鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
嘉義市,建物,嘉義市嘉義市西區友愛路４９４號１２樓之３,0.0,住,,,1090513,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881129,113.15,3,2,2,有,無,有,9000,80,,0.0,0,,RPOPMLOKNHPFFAI78CC
嘉義市,建物,嘉義市嘉義市西區雙竹街１４號７樓之１,0.0,住,,,1090508,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821117,98.96,3,2,2,有,無,有,10800,109,,0.0,0,,RPQPMLOKNHPFFAI98CC
嘉義市,建物,嘉義市嘉義市西區博愛路二段１６８號１２樓１０,0.0,其他,,,1090513,土地0建物1車位0,十二層,,住宅大樓(11層含以上有電梯),,,,66.84,1,1,1,有,無,有,8100,121,,0.0,0,,RPRPMLOKNHPFFAI09CC
嘉義市,建物,嘉義市嘉義市東區東洋新?１２１之８號３樓之６,0.0,住,,,1090514,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780518,42.76,1,0,0,無,無,有,6600,154,,0.0,0,,RPTNMLSKNHPFFAI86CC
嘉義市,房地(土地+建物),嘉義市嘉義市上海路３１８號,139.0,住,,,1090517,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0660511,164.2,3,3,2,有,無,無,30000,183,,0.0,0,,RPSNMLMLNHPFFAI09EC
嘉義市,建物,嘉義市嘉義市忠義街３巷１５號２樓１,0.0,商,,,1090519,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840112,25.41,1,0,1,有,無,有,4000,157,,0.0,0,社會住宅,RPQOMLPLNHPFFAI09CC
嘉義市,建物,嘉義市嘉義市忠孝路７９０之１００號１０樓１,0.0,住,,,1090520,土地0建物1車位0,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841004,74.45,3,2,2,有,無,有,9500,128,,0.0,0,,RPROMLPLNHPFFAI56CC
嘉義市,房地(土地+建物),嘉義市嘉義市彌陀路２６４號９樓４,10.44,住,,,1090505,土地1建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810508,71.49,2,2,1,有,有,有,8500,119,,0.0,0,,RPRNMLRLNHPFFAI66CC
嘉義市,房地(土地+建物),嘉義市嘉義市興業新村１８號,149.0,住,,,1090502,土地1建物1車位0,全,2,透天厝,住家用,,0510815,104.02,4,2,2,有,無,無,10000,96,,0.0,0,,RPXNMLRLNHPFFAI27CC
