鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
苓雅區,房地(土地+建物),高雄市苓雅區成功一路2樓A1,6.18,商,,,1081010,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.07,2,1,1,有,無,6580000,82178,,0.0,0,,RPXOMLKLNHPFFBE88CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路2樓A2,4.99,商,,,1080319,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,64.83,2,1,1,有,無,4800000,74040,,0.0,0,,RPOPMLKLNHPFFBE08CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路2樓A3,4.31,商,,,1071229,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,57.64,2,1,1,有,無,3960000,68702,,0.0,0,,RPPPMLKLNHPFFBE18CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路2樓A5,4.95,商,,,1081025,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,65.15,2,1,1,有,無,5640000,86569,,0.0,0,,RPRPMLKLNHPFFBE38CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路2樓A6,5.25,商,,,1081010,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.55,2,1,1,有,無,5570000,81255,,0.0,0,,RPSPMLKLNHPFFBE48CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路3樓A1,6.18,商,,,1081028,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.07,2,1,1,有,無,6580000,82178,,0.0,0,,RPTPMLKLNHPFFBE58CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路3樓A3,4.31,商,,,1071228,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,57.64,2,1,1,有,無,3960000,68702,,0.0,0,,RPOQMLKLNHPFFBE18CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路3樓A5,4.95,商,,,1081025,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,65.15,2,1,1,有,無,5640000,86569,,0.0,0,,RPVNMLLLNHPFFBE68CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路3樓A6,5.25,商,,,1081010,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.55,2,1,1,有,無,5570000,81255,,0.0,0,,RPPPMLLLNHPFFBE28CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路4樓A2,4.99,商,,,1080309,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,64.83,2,1,1,有,無,4750000,73269,,0.0,0,,RPRPMLLLNHPFFBE48CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路4樓A3,4.31,商,,,1080121,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,57.64,2,1,1,有,無,3950000,68529,,0.0,0,,RPTPMLLLNHPFFBE68CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路4樓A6,5.25,商,,,1081021,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.55,2,1,1,有,無,5490000,80088,,0.0,0,,RPWPMLLLNHPFFBE98CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路5樓A3,4.31,商,,,1080113,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,57.64,2,1,1,有,無,3960000,68702,,0.0,0,,RPRQMLLLNHPFFBE58CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路5樓A5,4.95,商,,,1081010,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,65.15,2,1,1,有,無,5690000,87337,,0.0,0,,RPTQMLLLNHPFFBE78CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路5樓A6,5.25,商,,,1081017,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.55,2,1,1,有,無,5000000,72939,,0.0,0,,RPVQMLLLNHPFFBE98CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路6樓A2,4.99,商,,,1080107,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,64.83,2,1,1,有,無,5000000,77125,,0.0,0,,RPSNMLNLNHPFFBE58CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路6樓A3,4.31,商,,,1080114,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,57.64,2,1,1,有,無,4080000,70784,,0.0,0,,RPTNMLNLNHPFFBE68CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路6樓A5,4.95,商,,,1080419,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,65.15,2,1,1,有,無,4900000,75211,,0.0,0,,RPUNMLNLNHPFFBE78CB,漢神棧,
苓雅區,房地(土地+建物),高雄市苓雅區成功一路7樓A1,6.18,商,,,1081010,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.07,2,1,1,有,無,6820000,85175,,0.0,0,,RPWNMLNLNHPFFBE98CB,漢神棧,
