編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUPMLSLJIMFFAH09CB,坡道平面,1350000,33.02,
RPSPMLSLJIMFFAH88CB,坡道平面,1350000,33.02,
RPOOMLTLJIMFFAH48CB,坡道平面,1350000,33.02,
RPSOMLTLJIMFFAH88CB,坡道平面,1400000,33.02,
RPPOMLTLJIMFFAH58CB,坡道平面,1400000,33.02,
RPTPMLSLJIMFFAH98CB,坡道平面,1400000,33.02,
RPWNMLTLJIMFFAH56CB,坡道平面,1400000,33.02,
RPQPMLSLJIMFFAH68CB,坡道平面,1400000,33.02,
RPRPMLSLJIMFFAH78CB,坡道平面,1400000,33.02,
RPWOMLTLJIMFFAH66CB,坡道平面,1400000,33.02,
RPSPMLTLJIMFFAH98CB,坡道平面,1400000,33.02,
RPXOMLTLJIMFFAH76CB,坡道平面,1350000,33.02,
RPUPMLTLJIMFFAH56CB,坡道平面,1350000,33.02,
RPQPMLTLJIMFFAH78CB,坡道平面,1350000,33.02,
RPPPMLTLJIMFFAH68CB,坡道平面,1400000,33.02,
RPOPMLTLJIMFFAH58CB,坡道平面,1400000,33.02,
RPTPMLTLJIMFFAH09CB,坡道平面,1350000,33.02,
RPVPMLTLJIMFFAH66CB,坡道平面,1350000,33.02,
RPRPMLTLJIMFFAH88CB,坡道平面,1400000,33.02,
RPWPMLTLJIMFFAH76CB,坡道平面,1350000,33.02,
RPPQMLTLJIMFFAH78CB,坡道平面,1400000,33.02,
RPXPMLTLJIMFFAH86CB,坡道平面,1350000,33.02,
RPSQMLTLJIMFFAH09CB,坡道平面,1350000,33.02,
RPQQMLTLJIMFFAH88CB,坡道平面,1400000,33.02,
RPPOMLKMJIMFFGH38CB,坡道平面,1100000,42.46,
RPUNMLKMJIMFFGH78CB,坡道平面,1150000,43.53,
RPXNMLKMJIMFFGH09CB,坡道平面,1100000,42.46,
RPWNMLKMJIMFFGH98CB,坡道平面,1200000,44.80,
RPOOMLKMJIMFFGH28CB,坡道平面,1100000,43.53,
RPVNMLKMJIMFFGH88CB,坡道平面,1050000,42.46,
RPTNMLKMJIMFFGH68CB,坡道平面,1200000,43.53,
RPROMLKMJIMFFGH58CB,坡道平面,1100000,43.53,
RPQOMLKMJIMFFGH48CB,坡道平面,1150000,43.53,
RPTOMLKMJIMFFGH78CB,坡道平面,1200000,43.53,
RPWOMLKMJIMFFGH09CB,坡道平面,1100000,42.46,
RPUOMLKMJIMFFGH88CB,坡道平面,1050000,42.46,
RPOPMLKMJIMFFGH38CB,坡道平面,1100000,43.53,
RPQPMLKMJIMFFGH58CB,坡道平面,1200000,43.53,
RPVOMLKMJIMFFGH98CB,坡道平面,1100000,43.53,
RPTPMLKMJIMFFGH88CB,坡道平面,1200000,44.80,
RPRPMLKMJIMFFGH68CB,坡道平面,1050000,42.46,
RPXOMLKMJIMFFGH56CB,坡道平面,1100000,43.53,
RPPPMLKMJIMFFGH48CB,坡道平面,1100000,43.53,
RPSPMLKMJIMFFGH78CB,坡道平面,1200000,43.53,
RPUPMLKMJIMFFGH98CB,坡道平面,1100000,43.53,
RPWPMLKMJIMFFGH56CB,坡道平面,1050000,42.46,
RPXPMLKMJIMFFGH66CB,坡道平面,1150000,43.53,
RPSQMLKMJIMFFGH88CB,坡道平面,1150000,42.46,
RPUQMLKMJIMFFGH09CB,坡道平面,1150000,43.53,
RPPQMLKMJIMFFGH58CB,坡道平面,1100000,43.53,
RPRQMLKMJIMFFGH78CB,坡道平面,1150000,44.80,
RPTQMLKMJIMFFGH98CB,坡道平面,1150000,43.53,
RPVPMLKMJIMFFGH09CB,坡道平面,1050000,42.46,
RPQQMLKMJIMFFGH68CB,坡道平面,1150000,44.80,
RPOQMLKMJIMFFGH48CB,坡道平面,1050000,42.46,
