編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUPMLLKKHOFFAH58CC,坡道平面,0,47.26,
RPQNMLMKKHOFFDH38CC,坡道平面,0,31.70,
RPUNMLLKKHOFFFH88CC,坡道平面,0,,
RPSNMLMKKHOFFDH58CC,坡道平面,0,,
RPQOMLLKKHOFFDH38CC,坡道平面,0,34.25,
RPQPMLNKKHOFFBH48CC,坡道平面,0,30.76,
RPWNMLNKKHOFFHH86CC,坡道機械,0,12.19,
RPXNMLNKKHOFFHH96CC,坡道平面,0,26.11,
RPXNMLNKKHOFFHH96CC,坡道平面,0,26.11,
RPRNMLOKKHOFFBH48CC,坡道平面,0,,
RPPOMLOKKHOFFEH68CC,一樓平面,0,,
RPXNMLOKKHOFFCH56CC,坡道平面,0,40.33,
RPWNMLQKKHOFFBH66DC,坡道平面,0,32.06,
RPVNMLPKKHOFFGH86CC,坡道平面,0,41.85,
RPVNMLSKKHOFFHH27CC,坡道平面,0,,
RPPNMLTKKHOFFAH68CC,坡道平面,0,46.11,
RPTOMLTKKHOFFAH56CC,坡道平面,0,,
RPTOMLTKKHOFFAH56CC,坡道平面,0,,
RPTNMLTKKHOFFAH09CC,坡道平面,0,,
RPVNMLTKKHOFFHH37CC,坡道平面,0,28.83,
RPUOMLLLKHOFFFH09CC,坡道平面,0,45.74,
RPXNMLNKKHOFFFH76CC,坡道平面,0,33.06,
RPQOMLLLKHOFFFH78DC,坡道平面,0,35.86,
RPTOMLLLKHOFFEH88CC,一樓平面,0,,
RPVOMLLLKHOFFAH68CC,坡道平面,0,27.37,
RPVOMLLLKHOFFAH68CC,坡道平面,0,27.37,
RPRRMLLLKHOFFAH58CC,坡道機械,0,24.28,
RPWNMLMLKHOFFEH56CC,坡道平面,0,34.00,
RPSNMLMLKHOFFFH88CC,坡道平面,0,27.62,
RPRNMLNLKHOFFEH78CC,坡道平面,0,31.67,
RPQOMLNLKHOFFBH48CC,坡道平面,0,35.26,
RPOOMLPLKHOFFFH88CC,坡道平面,0,27.62,
RPPOMLPLKHOFFFH98CC,坡道平面,0,,
RPSOMLQLKHOFFEH66CC,坡道平面,0,25.96,
RPVPMLRLKHOFFAH76CC,坡道平面,0,34.86,
RPQOMLRLKHOFFFH76DC,坡道平面,0,25.89,
RPTPMLRLKHOFFGH27DC,坡道平面,0,27.34,
RPRRMLRLKHOFFBH76DC,坡道平面,0,,
RPUQMLOJLHOFFAH09DC,坡道平面,0,21.32,
RPXPMLOJLHOFFBH66CC,坡道平面,0,36.45,
RPRPMLOJLHOFFBH68CC,坡道平面,0,35.70,
RPOQMLOJLHOFFBH48CC,坡道平面,0,24.48,
RPPNMLLJLHOFFBH97CC,坡道平面,0,31.97,
RPOOMLOJLHOFFFH68CC,坡道平面,0,33.24,
RPSNMLOJLHOFFFH98CC,坡道平面,0,30.47,
RPPNMLOJLHOFFFH88EC,坡道平面,0,37.12,
RPRNMLPJLHOFFDH78CC,坡道平面,0,34.25,
RPSNMLPJLHOFFDH88CC,坡道平面,0,29.13,
RPQOMLQJLHOFFBH78DC,坡道平面,0,37.81,
RPROMLQJLHOFFGH76DC,坡道平面,0,29.37,
RPXPMLQJLHOFFBH96DC,坡道平面,0,35.60,
RPQOMLRJLHOFFBH78CC,坡道平面,0,,
RPQOMLRJLHOFFBH78CC,坡道平面,0,,
RPVNMLLKKHOFFFH98CC,坡道平面,0,29.37,
RPSQMLSJLHOFFBH66CC,坡道平面,0,33.72,
RPORMLSJLHOFFBH98CC,坡道平面,0,36.73,
RPWQMLSJLHOFFBH07CC,坡道平面,0,33.72,
RPRPMLSJLHOFFAH09DC,坡道平面,0,24.98,
RPRPMLSJLHOFFAH09DC,坡道平面,0,24.98,
RPROMLLKLHOFFDH58CC,坡道平面,0,31.70,
RPTOMLLKLHOFFBH58CC,坡道平面,0,31.11,
RPVOMLMKLHOFFAH78CC,坡道平面,0,,
RPVOMLMKLHOFFAH78CC,坡道平面,0,,
RPVPMLMKLHOFFAH88CC,坡道平面,0,,
RPUNMLMKLHOFFFH56DC,坡道平面,0,25.89,
RPTNMLMKLHOFFFH98CC,坡道平面,0,23.28,
RPSNMLNKLHOFFFH09DC,坡道平面,0,,
RPSPMLPKLHOFFBH09DC,坡道平面,2000,33.96,
RPSPMLPKLHOFFBH09DC,坡道平面,2000,33.96,
RPQNMLOJLHOFFFH98EC,坡道平面,0,25.79,
RPRPMLSKLHOFFBH56CC,坡道平面,0,41.08,
RPSNMLMKLHOFFBH48CC,坡道平面,0,,
RPQQMLSKLHOFFAH09CC,坡道平面,0,,
RPOPMLKLLHOFFAH08CC,坡道平面,0,21.74,
RPOPMLKLLHOFFAH08CC,坡道平面,0,21.74,
RPOPMLKLLHOFFAH08CC,坡道平面,0,21.74,
RPOPMLKLLHOFFBH18CC,坡道平面,0,28.51,
RPTOMLKLLHOFFBH68DC,坡道平面,0,10.02,
RPTOMLKLLHOFFBH68DC,坡道平面,0,10.02,
RPVNMLKLLHOFFFH56DC,坡道平面,0,30.21,
RPPNMLLLLHOFFGH68CC,坡道平面,0,41.91,
RPRNMLLLLHOFFGH88CC,坡道平面,0,34.74,
RPWPMLNKLHOFFDH76CC,坡道平面,0,31.70,
RPVPMLNKLHOFFDH66CC,坡道平面,0,26.00,
RPUQMLLLLHOFFBH98CC,坡道平面,0,,
RPXPMLNKLHOFFDH86CC,坡道平面,0,31.70,
RPOQMLNKLHOFFDH68CC,坡道平面,0,34.25,
RPXNMLLLLHOFFAH88CC,坡道平面,0,,
RPXPMLMLLHOFFAH56CC,坡道平面,0,32.38,
