編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLKLNHOFFAZ27DA,后沃段,73.13,都市：住,1,1,全筆移轉,04410000
RPPNMLPKLHOFFAZ47DA,珠螺段,239.28,都市：其他:機關、住宅,1,1,全筆移轉,02470000
RPPNMLRLLHOFFAZ77DA,塘岐段,81.94,都市：商,1,1,全筆移轉,07190002
RPPNMLKMMHOFFAZ27DA,津沙段,35.71,都市：住,2,1,持分移轉,04220000
RPPNMLLKMHOFFAZ17DA,珠螺段,7.41,都市：住,1,1,全筆移轉,02990001
RPPNMLOKNHOFFAZ57DA,福沃段,3.99,都市：其他:機關建地,10000,121,持分移轉,05140000
RPRNMLOKNHOFFAZ77DA,珠螺段,59.71,都市：住,1,1,全筆移轉,00030002
RPPNMLQLKHOFFAZ57DA,珠螺段,57.84,都市：住,1,1,全筆移轉,00710000
RPPNMLKKNHOFFAZ17DA,清水段,9.10,都市：住,10000,750,持分移轉,03980000
RPQNMLOKNHOFFAZ67DA,珠螺段,22.48,都市：住,1,1,全筆移轉,00760000
RPQNMLLKLHOFFAZ17DA,東引西段,18.63,都市：商,1,1,全筆移轉,04530001
RPPNMLLKLHOFFAZ07DA,東引西段,18.30,都市：商,1,1,全筆移轉,04560001
RPQNMLTKLHOFFAZ97DA,東引西段,19.26,都市：商,1,1,全筆移轉,04520001
RPVNMLTKLHOFFAZ48DA,東引西段,18.02,都市：商,1,1,全筆移轉,04500001
RPPNMLTKLHOFFAZ87DA,東引西段,16.81,都市：商,1,1,全筆移轉,04470001
RPPNMLTKLHOFFAZ87DA,東引西段,.96,都市：商,1,1,全筆移轉,04470002
RPWNMLTKLHOFFAZ58DA,東引西段,35.85,都市：商,1,1,全筆移轉,04580001
RPOOMLTKLHOFFAZ87DA,東引西段,34.34,都市：商,2,1,持分移轉,04550000
RPUNMLTKLHOFFAZ38DA,東引西段,17.75,都市：商,1,1,全筆移轉,04480001
RPTNMLTKLHOFFAZ28DA,東引西段,20.18,都市：商,1,1,全筆移轉,04570001
RPPOMLTKLHOFFAZ97DA,東引西段,19.52,都市：商,1,1,全筆移轉,04540001
RPSNMLTKLHOFFAZ18DA,東引西段,18.79,都市：商,1,1,全筆移轉,04510001
RPRNMLTKLHOFFAZ08DA,東引西段,37.82,都市：商,1,1,全筆移轉,04490001
RPPNMLTLLHOFFAZ97DA,橋仔段,21.21,都市：住,1,1,全筆移轉,05260007
RPPNMLSJLHOFFAZ67DA,福正段,17.03,都市：其他:保護區,1,1,全筆移轉,03140000
RPPNMLSJLHOFFAZ67DA,福正段,20.61,都市：其他:保護區、機關用地,1,1,全筆移轉,03140002
RPPNMLSJLHOFFAZ67DA,福正段,225.57,都市：其他:保護區、機關用地、住宅區,1,1,全筆移轉,03140003
RPPNMLSJLHOFFAZ67DA,福正段,37.63,都市：其他:保護區、機關用地,1,1,全筆移轉,03140004
RPPNMLSJLHOFFAZ67DA,福正段,191.91,都市：其他:保護區、機關用地,1,1,全筆移轉,03210003
RPPNMLSJLHOFFAZ67DA,福正段,7.53,都市：其他:保護區,1,1,全筆移轉,03210004
RPPNMLSJLHOFFAZ67DA,福正段,9.55,都市：其他:保護區,1,1,全筆移轉,03210005
RPPNMLSJLHOFFAZ67DA,福正段,7.76,都市：其他:保護區,1,1,全筆移轉,07640001
RPPNMLSJLHOFFAZ67DA,福正段,113.14,都市：其他:保護區、機關用地,1,1,全筆移轉,07810004
