編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLRLLHOFFCC28CB,坡道平面,1750000,33.36,
RPQOMLRLLHOFFCC48CB,坡道平面,1750000,33.36,
RPUOMLRLLHOFFCC88CB,坡道平面,1850000,33.36,
RPOPMLRLLHOFFCC38CB,坡道平面,1700000,33.36,
RPOPMLRLLHOFFCC38CB,坡道平面,1700000,33.36,
RPXOMLRLLHOFFCC56CB,坡道平面,1650000,33.36,
RPPOMLRLLHOFFCC38CB,坡道平面,1700000,32.55,
RPROMLRLLHOFFCC58CB,坡道平面,1700000,32.55,
RPSOMLRLLHOFFCC68CB,坡道平面,1700000,33.36,
RPPPMLRLLHOFFCC48CB,坡道平面,1750000,33.36,
RPTOMLRLLHOFFCC78CB,坡道平面,1700000,33.36,
RPTPMLRLLHOFFCC88CB,坡道平面,1650000,33.36,
RPVPMLRLLHOFFCC09CB,坡道平面,1700000,32.55,
RPXPMLRLLHOFFCC66CB,坡道平面,1650000,33.36,
RPRPMLRLLHOFFCC68CB,坡道平面,1800000,33.36,
RPRPMLRLLHOFFCC68CB,坡道平面,1800000,33.36,
RPQPMLRLLHOFFCC58CB,坡道平面,1700000,33.36,
RPQPMLRLLHOFFCC58CB,坡道平面,1700000,33.36,
RPPQMLRLLHOFFCC58CB,坡道平面,1650000,32.55,
RPOQMLRLLHOFFCC48CB,坡道平面,1700000,33.36,
RPQQMLRLLHOFFCC68CB,坡道平面,1700000,33.36,
RPRQMLRLLHOFFCC78CB,坡道平面,1650000,33.36,
RPWQMLRLLHOFFCC66CB,坡道平面,1650000,33.36,
RPXQMLRLLHOFFCC76CB,坡道平面,1760000,33.36,
RPORMLRLLHOFFCC58CB,坡道平面,1650000,33.36,
RPTQMLRLLHOFFCC98CB,坡道平面,1800000,33.36,
RPPRMLRLLHOFFCC68CB,坡道平面,1800000,33.36,
RPUQMLRLLHOFFCC09CB,坡道平面,1700000,32.55,
RPSRMLRLLHOFFCC98CB,坡道平面,1800000,33.36,
