編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLTLOHNFFAP47EB,光明段,90.13,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05360002
RPXNMLTLOHNFFAP18EB,光明段,80.50,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,03960003
RPOOMLTLOHNFFAP37EB,光明段,90.13,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05360001
RPVNMLTLOHNFFAP97EB,光明段,104.54,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,03960000
RPQOMLTLOHNFFAP57EB,光明段,89.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05530002
RPUOMLTLOHNFFAP97EB,光明段,88.99,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05530000
RPTOMLTLOHNFFAP87EB,光明段,86.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05530001
RPVOMLTLOHNFFAP08EB,光明段,90.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06040001
RPWOMLTLOHNFFAP18EB,光明段,110.70,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06040007
RPXOMLTLOHNFFAP28EB,光明段,108.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06040006
RPOPMLTLOHNFFAP47EB,光明段,108.30,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05750000
RPPPMLTLOHNFFAP57EB,光明段,88.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06040005
RPPNMLMJPHNFFAP56EB,光明段,108.06,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05750003
RPRNMLMJPHNFFAP76EB,光明段,82.27,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06110006
RPVNMLMJPHNFFAP17EB,光明段,105.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05990004
RPSNMLMJPHNFFAP86EB,光明段,82.27,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06110005
RPQNMLMJPHNFFAP66EB,光明段,84.17,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06110007
RPTNMLMJPHNFFAP96EB,光明段,82.27,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06110003
RPUNMLMJPHNFFAP07EB,光明段,82.27,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06110001
RPQPMLTLOHNFFAP67EB,光明段,106.39,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05750002
RPTNMLPJPHNFFAP27EB,光明段,92.75,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,03960001
RPWNMLMJPHNFFAP27EB,光明段,103.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05990003
RPUNMLPJPHNFFAP37EB,光明段,92.75,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,03960002
RPQNMLTJPHNFFAP37EB,光明段,99.22,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05230001
RPSNMLTJPHNFFAP57EB,光明段,82.27,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06110004
RPUNMLTJPHNFFAP77EB,光明段,84.56,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06110000
RPTOMLTJPHNFFAP77EB,光明段,89.34,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05990000
RPUOMLTJPHNFFAP87EB,光明段,91.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05360003
RPVOMLTJPHNFFAP97EB,光明段,91.88,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05360000
RPXPMLKKPHNFFAP47EB,光明段,82.27,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06110002
RPWPMLKKPHNFFAP37EB,光明段,98.87,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05230000
RPSPMLTJPHNFFAP77EB,光明段,106.40,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05750001
