編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLMLQHJGFBN66DA,一樓平面,0,,一樓
RPPQMLPKQHJGFAN66DA,坡道機械,0,,地下一樓
RPXNMLRLQHJGFAN47DA,升降機械,0,,地下一樓
RPVNMLKLQHJGFDN86DA,坡道機械,0,,地下一樓
RPXNMLQLQHJGFDN67DA,一樓平面,0,,一樓
RPOOMLQLQHJGFDN86DA,一樓平面,0,,一樓
RPRNMLQLQHJGFDN07DA,升降機械,0,,地下一樓
RPROMLRLQHJGFFN47DA,坡道平面,0,,地下一樓
RPOOMLTLQHJGFDN17DA,坡道平面,0,,地下一樓
RPQNMLMJRHJGFAN78DA,坡道平面,0,,地下二樓
RPPNMLOJRHJGFAN88DA,坡道平面,0,,地下一樓
RPQNMLTJQHJGFDN07DA,坡道平面,0,,地下一樓
RPTNMLTKQHJGFDN47DA,坡道平面,0,31.22,地下一樓
RPSNMLNJRHJGFCN66DA,升降機械,0,,地下二樓
RPSOMLPJPHJGFDN86DA,一樓平面,1625000,21.00,一樓
RPRPMLKKPHJGFDN09DA,坡道平面,0,,地下一樓
RPXNMLNLPHJGFBN07DA,一樓平面,0,,一樓
RPPNMLNLPHJGFBN88DA,一樓平面,0,,一樓
RPQNMLOLPHJGFBN09DA,一樓平面,1300000,23.34,一樓
RPQNMLKMPHJGFGN76EA,坡道平面,0,,地下一樓
RPWNMLLMPHJGFAN76DA,坡道平面,0,,地下一樓
RPUNMLKMPHJGFFN96DA,坡道平面,0,,地下一樓
RPUNMLKMPHJGFFN96DA,坡道平面,0,,地下一樓
RPTNMLLJQHJGFDN56DA,坡道平面,0,,地下三樓
RPSNMLMJQHJGFBN98DA,坡道機械,0,,地下一樓
RPUNMLMJQHJGFDN76DA,其他,0,8.07,一樓
RPPNMLNKPHJGFAN68DA,坡道平面,1000000,,地下一樓
RPWRMLPKPHJGFAN37DA,坡道平面,1200000,31.26,地下二樓
RPQNMLQJQHJGFBN56DA,坡道機械,0,,地下二樓
RPQNMLQJQHJGFBN56DA,坡道機械,0,,地下二樓
RPWOMLRJQHJGFDN57DA,坡道平面,0,,地下一樓
RPTPMLRJQHJGFDN37DA,一樓平面,0,,一樓
RPTSMLQKPHJGFAN27DA,坡道平面,1000000,29.75,地下二樓
RPQNMLTKQHJGFBN96DA,一樓平面,1300000,23.34,一樓
RPPNMLPKQHJGFDN66DA,坡道平面,0,,地下一樓
RPSPMLPKQHJGFAN86DA,坡道平面,0,,地下二樓
RPWNMLTKQHJGFDN77DA,坡道平面,0,,地下一樓
RPXOMLNLPHJGFAN07DA,坡道機械,600000,,地下一樓
RPVOMLQKQHJGFAN17DA,坡道機械,0,,地下一樓
RPPOMLPKQHJGFAN09DA,坡道平面,0,,地下一樓
RPTNMLSJQHJGFDN27DA,坡道平面,0,,地下二樓
RPVNMLTKQHJGFDN67DA,坡道平面,0,,地下一樓
RPSOMLPKQHJGFAN76DA,坡道平面,0,,地下二樓
RPPOMLKLQHJGFBN78DA,升降機械,0,,一樓
RPSNMLMLQHJGFBN56DA,一樓平面,0,,一樓
RPPNMLNKQHJGFDN09DA,坡道平面,0,,地下一樓
RPQOMLTJQHJGFDN17DA,坡道平面,0,,地下二樓
RPVPMLTKQHJGFAN57DA,坡道平面,0,,地下一樓
RPWNMLTLPHJGFBN57DA,坡道機械,0,16.02,地下二樓
RPTOMLKLQHJGFAN09DA,坡道機械,0,,地下一樓
RPOOMLTJQHJGFDN96DA,坡道平面,1550000,35.39,地下一樓
RPVNMLLLQHJGFAN66DA,其他,0,,地下二樓
RPOOMLNLQHJGFDN56DA,其他,0,8.07,一樓
RPSNMLPLQHJGFBN86DA,其他,0,,一樓
RPTQMLPKQHJGFAN07DA,坡道平面,0,,地下一樓
RPWNMLNKQHJGFAN86DA,坡道平面,0,,地下一樓
RPTNMLMJRHJGFAN09DA,坡道機械,0,,地下一樓
RPTNMLOKQHJGFBN76DA,坡道機械,0,16.02,地下二樓
RPTNMLOKQHJGFBN76DA,坡道機械,0,16.02,地下二樓
RPPOMLMJRHJGFAN78DA,坡道平面,1300000,,地下一樓
RPRNMLOKQHJGFDN76DA,一樓平面,0,,一樓
RPUNMLKLQHJGFCN66DA,坡道機械,0,,地下一樓
RPSNMLKMPHJGFAN88DA,坡道平面,0,23.17,地下二樓
RPSNMLOLOHJGFDN76DA,坡道平面,0,,地下二樓
RPPNMLLLOHJGFBN58DA,坡道機械,0,,地下一樓
